"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAM-U","AA Mission Acquisition Corp.","-","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.41%,,,,0.51%,,0.02,0.22%,0.13%,0.23%,0.39%,0.39%,-0.58%,0.71%,-0.58%,0.71%,-0.58%,0.71%,62.24,,8/1/2024,No,No,,0.00%,-0.00%,,609.74,0.00,861,1,,10.04,10.04,10.04,10.04,10.04,-0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",35.29,,,,0.19,0.35,,14.06,4.93,,0.02,1.16%,,-0.18,,,,12.50%,,0.22%,-3.09%,-150.86%,186.00,-3.55,,,20.40,3.86,18.92%,81.07%,0.00%,4.63%,-1.70%,1.08%,8.40,0.04,-0.88%,-3.09%,-2.52%,0.91,,0.40,0.40,,-0.48%,-1.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.75%,2.46%,2.36%,4.52%,2.36%,1.16%,-21.02%,-5.48%,-29.40%,0.45,0.08,1.18%,5.70%,6.05%,7.37%,-13.63%,-3.36%,20.97%,-42.34%,20.97%,-89.17%,376.16%,58.67,,3/17/1980,No,Yes,155,1.75%,1.98%,,4.96,0.52,1316,21,,1.67,1.70,1.73,1.69,1.73,3.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAOI","Applied Optoelectronics Inc","RUT","Technology","Communication Equipment","USA",721.62,,30.78,,3.49,3.85,44.77,,4.59,0.39,,,,-1.92,-0.17,-60.40%,185.09%,-74.26%,13.00%,-2.51%,3.98%,-15.45%,206.94,-72.10,4.14%,-1.98%,38.15,37.56,98.45%,8.16%,-0.01%,73.74%,1.89%,29.35%,4.48,11.02,-20.46%,-41.23%,-26.99%,1.64,0.97,0.43,0.59,28.20%,-28.56%,-34.84%,-0.26%,-0.36%,-0.26%,0.33%,0.58%,0.70%,0.81%,-0.29%,3.78%,-3.38%,7.25%,33.76%,61.05%,47.15%,133.69%,-8.68%,1.98,1.34,8.65%,8.96%,15.94%,43.67%,36.86%,-9.33%,163.33%,-28.71%,164.92%,-82.94%,1092.12%,65.29,8/6/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,-4.89%,0.71%,1.75,2460.60,1.69,2113481,10483,16.00,18.42,18.55,18.79,16.92,17.64,-4.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAON","AAON Inc.","-","Industrials","Building Products & Equipment","USA",9061.78,50.21,40.53,2.71,7.59,12.23,750.15,77.19,9.15,0.15,0.32,0.28%,15.01%,2.23,0.57,2.96%,21.85%,31.82%,18.50%,23.88%,10.43%,13.90%,1194.27,186.37,20.39%,10.50%,81.51,66.74,81.88%,17.62%,-0.72%,72.98%,2.05%,4.43%,7.29,2.96,19.21%,26.61%,21.75%,2.99,1.70,0.16,0.16,34.93%,20.32%,15.61%,0.08%,0.00%,-0.06%,0.30%,0.36%,0.40%,0.30%,0.50%,1.16%,0.07%,2.48%,16.33%,26.85%,27.08%,99.18%,51.43%,0.80,2.61,2.28%,2.54%,4.15%,14.97%,31.30%,-1.76%,40.44%,-1.76%,114.13%,-1.76%,420370.83%,75.74,8/1/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,-0.09%,-0.06%,2.38,405.92,0.30,61420,1836,102.00,112.03,111.96,112.26,110.20,111.86,-0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",2358.21,3406.97,14.12,,0.21,0.90,4.92,6.74,43.68,8.03,0.97,2.47%,451.08%,0.01,0.55,327.11%,31.05%,-38.63%,-6.50%,3.37%,-0.11%,-47.56%,11273.25,1.24,-18.50%,0.51%,59.51,59.02,99.18%,1.10%,0.07%,108.98%,5.06%,17.08%,4.13,10.08,0.01%,0.05%,0.02%,1.23,0.30,1.52,1.52,39.75%,0.38%,0.01%,-0.16%,-0.06%,-0.11%,-0.16%,-0.31%,-0.31%,-0.34%,-0.96%,-2.37%,-2.01%,1.73%,-3.94%,-38.67%,-44.81%,-22.13%,-35.24%,1.19,1.73,3.39%,4.00%,0.05%,-13.95%,-37.26%,-37.39%,8.57%,-55.37%,8.57%,-83.84%,220.53%,43.74,8/22/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,-1.69%,1.85%,3.04,2444.08,1.30,1608895,12829,47.78,39.47,40.20,41.42,39.50,39.52,0.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,14.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16%,-0.07%,-0.07%,-0.03%,0.25%,0.29%,-0.52%,-0.81%,-0.69%,0.73%,8.35%,16.90%,2.15%,79.01%,23.41%,32.17%,2.00,1.08,2.45%,3.07%,6.13%,8.54%,30.56%,0.20%,42.00%,-4.83%,90.82%,-4.83%,113.05%,61.37,,8/9/2022,Yes,Yes,,1.20%,1.83%,,127.84,2.16,140497,871,,29.46,30.00,30.97,29.68,30.36,3.05%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,24124838,29.42,0.03,-2577632.99,-9.65,-13619923.37,-36.08,12333922.60,104.61,11368850.23,89.13,39.38,,,,16.63,"U.S. single-asset AAPL leverage"
17,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.80,4.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.02%,0.06%,0.09%,-0.11%,-0.06%,0.31%,0.46%,0.37%,-0.49%,-3.89%,-8.63%,-2.86%,-28.96%,-25.08%,-19.22%,-1.22,0.33,1.27%,1.58%,-3.25%,-4.98%,-17.23%,-15.97%,-0.79%,-31.24%,0.62%,-48.37%,0.62%,37.67,,8/9/2022,Yes,Yes,,-0.55%,-0.97%,,373.60,1.78,337077,1041,,16.56,16.40,16.46,16.13,16.31,-1.51%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,10,25686172,16.57,-0.02,4681414.51,22.29,4293583.61,20.07,-1276967.68,-4.74,-2011555.27,-7.26,-19.89,,,,-14.36,"U.S. single-asset AAPL inverse"
18,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",3570986.89,35.76,31.65,3.75,9.26,53.60,57.78,34.22,4.38,4.06,0.99,0.42%,15.32%,6.57,1.59,9.38%,10.66%,15.55%,9.54%,10.97%,4.87%,10.88%,385603.00,101956.00,4.12%,1.59%,15550.06,15190.20,97.69%,0.09%,-5.34%,62.65%,5.38%,0.93%,2.73,141.74,30.59%,160.58%,66.68%,0.95,0.91,1.29,1.52,45.96%,31.27%,26.44%,0.02%,-0.06%,-0.08%,-0.12%,0.12%,0.03%,-0.31%,-0.42%,-0.44%,0.26%,4.03%,8.58%,2.62%,38.66%,31.32%,21.99%,1.23,4.52,1.34%,1.66%,3.21%,4.77%,17.94%,0.76%,19.83%,-0.99%,43.15%,-0.99%,369099.52%,62.29,10/31/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,0.55%,0.99%,1.90,51949.42,1.33,35155232,425288,245.37,231.30,233.59,237.49,232.37,234.87,1.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.03%,-0.03%,0.40%,0.82%,2.77%,7.46%,,5.84%,,0.07,0.21%,0.18%,0.30%,1.39%,3.76%,-0.06%,4.57%,-0.06%,8.24%,-0.06%,8.24%,64.85,,4/1/2024,No,Yes,,0.07%,-0.13%,,9.41,0.08,367,4,,26.27,26.24,26.27,26.24,26.26,-0.06%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,72275225,26.28,-0.00,-2617790.00,-3.50,-5779700.00,-7.40,66292115.00,1107.99,66292115.00,1107.99,,,,,11.28,"U.S. options treasuries buffer upside-cap fixed-period"
20,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.84,2.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07%,-0.10%,-0.20%,-0.22%,0.24%,0.08%,-0.64%,-0.79%,-0.81%,0.55%,8.07%,15.55%,0.84%,75.81%,53.17%,40.21%,1.85,1.42,2.63%,3.27%,5.84%,7.72%,30.29%,-0.95%,40.72%,-6.10%,87.65%,-6.10%,147.15%,60.77,,8/9/2022,Yes,Yes,,1.11%,1.96%,,738.39,2.68,1005195,4398,,37.28,38.01,39.25,37.59,38.43,3.09%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,11,100623145,37.27,0.03,-13442630.39,-11.78,-64092783.73,-38.91,27515755.39,37.64,19806851.94,24.51,50.25,,,,22.89,"U.S. single-asset AAPL leverage"
21,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,-0.50%,-0.50%,-0.38%,-0.26%,-1.04%,1.21%,7.95%,16.58%,1.42%,77.45%,,40.83%,,1.18,2.26%,2.72%,5.95%,8.18%,29.01%,-0.20%,40.32%,-5.61%,88.72%,-5.61%,88.72%,61.25,,1/11/2024,Yes,Yes,,1.04%,2.12%,,27.28,1.34,18550,100,,33.93,34.65,35.66,34.79,35.01,3.18%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,5,7235800,32.89,0.06,-693400.00,-8.74,-2331800.00,-24.37,4736900.00,189.56,4736900.00,189.56,,,,,50.66,"U.S. single-asset AAPL leverage"
22,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,2.90,10.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.57%,-0.04%,-0.59%,3.48%,6.95%,1.82%,19.49%,,4.92%,0.51,0.34,0.62%,0.55%,2.61%,3.68%,8.84%,0.14%,15.10%,0.14%,22.39%,0.14%,22.39%,60.68,,10/27/2023,Yes,Yes,,-1.27%,2.49%,,1.05,1.02,542,28,,27.72,28.41,28.05,28.03,28.05,1.19%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,6,1660824,27.68,0.01,272452.00,19.62,272452.00,19.62,1036977.00,166.22,1036977.00,166.22,,,,,24.72,"U.S. single-asset options AAPL covered-call"
23,"AAT","American Assets Trust Inc","RUT","Real Estate","REIT - Diversified","USA",1711.29,31.69,39.58,10.56,3.84,1.44,14.90,12.27,19.58,1.89,1.52,5.43%,157.63%,0.89,0.14,-10.71%,-5.33%,14.84%,3.00%,6.14%,1.07%,-0.90%,445.27,53.42,42.86%,-1.79%,60.90,46.10,75.70%,24.31%,0.00%,76.80%,0.93%,1.82%,3.29,0.84,1.80%,4.50%,1.83%,,,1.45,1.45,35.44%,27.37%,12.00%,0.00%,0.00%,0.07%,0.11%,0.11%,0.36%,0.64%,0.73%,1.44%,3.63%,7.09%,4.62%,14.51%,38.02%,53.64%,24.83%,1.32,0.55,1.70%,1.82%,5.06%,6.79%,21.14%,1.12%,15.59%,1.12%,63.85%,-42.96%,75.17%,68.74,10/29/2024 4:30:00 PM,1/13/2011,Yes,Yes,228,3.46%,-0.11%,3.00,254.68,0.37,47444,795,24.50,27.19,27.16,28.09,27.10,28.10,3.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.37,1.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03%,0.00%,0.00%,0.04%,0.10%,0.14%,0.01%,-0.22%,-0.31%,-1.16%,-2.35%,6.88%,5.42%,17.99%,21.35%,16.27%,0.64,1.36,1.30%,1.13%,-1.01%,4.09%,10.47%,-5.90%,16.87%,-5.90%,27.06%,-24.07%,253.69%,50.77,,8/15/2008,Yes,Yes,,-1.11%,-1.06%,,493.49,0.73,182960,1597,,79.11,78.27,78.36,77.29,77.40,-2.16%,,,"Global or ExUS Equities - Broad / Regional","Equities (Stocks)","Global Ex. US Equities",,"Asia ex-Japan","Passive",0.70%,977,2597862500,79.20,-0.02,48768298.20,1.91,-64879303.40,-2.44,-235123581.20,-8.30,-311099092.80,-10.69,26.12,-0.48,5.33,4.45,4.68,"Asia-ex-Japan equity"
25,"AB","AllianceBernstein Holding Lp","-","Financial","Asset Management","USA",4163.00,12.64,9.99,0.73,,1.99,,13.27,18.21,0.00,3.04,8.37%,112.01%,2.87,0.72,12.21%,20.49%,-1.29%,17.43%,0.00%,,84.95%,0.00,326.93,6.61%,2.28%,114.34,106.51,93.15%,7.08%,6.33%,17.35%,4.66%,0.85%,3.30,0.91,15.83%,15.85%,15.69%,,,0.00,0.00,,0.00%,,-0.03%,0.01%,-0.02%,0.00%,0.00%,0.11%,0.14%,-0.03%,0.03%,0.36%,5.00%,5.21%,7.58%,11.14%,23.54%,17.05%,1.24,0.59,1.99%,1.49%,3.82%,5.51%,7.78%,0.33%,18.81%,0.33%,40.61%,-61.74%,1409.40%,72.62,10/24/2024 8:30:00 AM,4/14/1988,Yes,Yes,4707,0.48%,0.10%,1.88,275.09,0.63,88641,1202,41.54,36.11,36.15,36.52,36.24,36.32,0.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,
