"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAL","American Airlines Group Inc","S&P 500","Industrials","Airlines","USA",8515.15,11.96,4.05,0.26,0.16,,1.00,7.05,-7.95,12.96,,,0.00%,1.09,-0.27,-11.81%,37.43%,-17.73%,46.74%,16.93%,-0.96%,-97.42%,52788.00,822.00,171.28%,0.38%,654.27,641.67,98.07%,2.00%,-0.14%,52.41%,1.46%,6.32%,1.23,40.56,1.29%,,2.69%,0.62,0.51,,,22.37%,7.59%,1.56%,-0.02%,-0.07%,-0.15%,-0.16%,-0.23%,-0.21%,-0.31%,-0.71%,-0.84%,-2.07%,-6.44%,-7.04%,-1.55%,7.84%,0.42%,-5.35%,1.59,0.45,3.09%,2.65%,-9.14%,-11.05%,-8.63%,-19.47%,-0.12%,-31.84%,19.75%,-77.99%,57.64%,31.73,4/25/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,-1.96%,0.87%,2.22,32991.52,0.66,12248222,27963,17.91,13.15,13.27,13.47,13.00,13.01,-1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAMC","Altisource Asset Management Corp","-","Financial","Mortgage Finance","USA",9.38,,,,,,0.65,1.72,-49.26,5.63,,,,-9.29,,,,-22.42%,,143.79%,-393.39%,-220.62%,-11.69,-32.55,,,2.55,0.70,27.45%,72.71%,0.00%,1.85%,-75.30%,3.49%,0.94,0.02,-45.46%,-89.55%,-171.57%,,,0.03,0.05,82.40%,211.96%,278.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.22%,3.66%,-0.51%,11.18%,-1.60%,4.84%,5.14%,-4.20%,-90.84%,-11.11%,,0.40,13.94%,12.54%,3.89%,-7.00%,-55.12%,-27.27%,16.09%,-93.96%,39.39%,-99.48%,39.39%,50.14,,12/13/2012,No,Yes,13,11.18%,-12.55%,,25.89,0.21,3080,39,,3.79,3.31,3.61,3.52,3.68,-2.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",44.06,,,,0.24,0.41,,17.35,5.26,,0.04,1.85%,,-0.04,,,,12.50%,,0.22%,3.35%,-345.91%,186.79,-0.57,,,20.40,3.89,19.07%,80.92%,0.00%,4.70%,1.18%,0.35%,1.86,0.01,-0.05%,-0.16%,-0.39%,0.80,,0.36,0.37,,1.45%,-0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.92%,0.47%,3.75%,-0.46%,-21.74%,-15.29%,18.03%,-13.60%,-11.84%,0.38,0.19,5.20%,7.82%,-14.62%,-16.66%,1.36%,-28.00%,6.93%,-28.00%,44.97%,-86.47%,494.58%,32.66,,3/17/1980,No,Yes,155,6.93%,-7.77%,,7.34,1.12,4650,33,,2.19,2.02,2.25,2.02,2.16,-1.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAN","Aarons Company Inc","RUT","Industrials","Rental & Leasing Services","USA",220.99,89.88,11.00,,0.10,0.31,3.74,2.57,22.60,1.88,0.50,7.12%,550.66%,0.08,-0.07,-89.24%,632.59%,-42.78%,,4.01%,-10.19%,-113.24%,2139.89,2.82,-1100.00%,-2.96%,30.36,30.21,99.51%,4.06%,8.30%,89.21%,-7.19%,1.44%,1.59,0.43,0.15%,0.41%,0.22%,,,0.83,1.02,51.82%,4.88%,0.13%,0.00%,0.00%,-0.57%,-0.57%,-0.43%,-0.43%,-0.28%,-0.28%,-0.92%,-1.82%,-3.70%,1.01%,-32.89%,-26.49%,-34.51%,-35.48%,1.31,0.30,3.77%,3.60%,-3.37%,-16.01%,-32.31%,-35.60%,3.69%,-56.56%,4.46%,-81.28%,4.46%,38.90,2/26/2024 4:30:00 PM,11/4/1982,Yes,Yes,9071,-2.09%,0.14%,2.67,273.14,0.40,61685,488,8.60,7.16,7.17,7.21,7.02,7.02,-1.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAOI","Applied Optoelectronics Inc","-","Technology","Communication Equipment","USA",425.35,,12.72,,1.95,1.97,7.72,,5.63,1.43,,,,-1.79,-0.29,77.88%,1037.46%,-74.26%,13.00%,-2.51%,-1.84%,46.71%,217.65,-56.05,6566.67%,-7.27%,38.15,35.57,93.24%,7.36%,-0.06%,64.02%,-2.49%,25.60%,3.15,9.11,-14.06%,-28.06%,-18.95%,1.85,1.16,0.38,0.56,26.72%,-19.00%,-25.75%,0.02%,-0.48%,-0.30%,-0.54%,-0.31%,-0.12%,-0.30%,-1.10%,0.24%,-2.75%,-10.45%,-14.27%,-36.38%,39.33%,396.72%,-42.67%,2.08,0.86,4.45%,5.18%,-16.73%,-29.16%,-16.78%,-55.25%,-1.19%,-55.25%,592.30%,-89.29%,648.43%,29.71,2/22/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,-2.06%,0.71%,2.00,2889.32,0.47,772956,4941,18.00,11.23,11.31,11.38,10.85,11.08,-1.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAON","AAON Inc.","RUT","Industrials","Building Products & Equipment","USA",7157.48,40.89,31.46,3.41,6.13,9.66,793.51,132.06,9.02,0.11,0.32,0.37%,15.01%,2.13,0.47,4.17%,20.93%,31.82%,12.00%,23.88%,20.44%,19.17%,1168.52,177.62,5.16%,4.18%,81.51,67.51,82.82%,17.77%,-2.84%,70.77%,-0.20%,3.59%,5.62,2.42,19.42%,27.41%,22.32%,3.23,1.54,0.08,0.09,32.97%,19.47%,15.20%,0.04%,0.02%,-0.05%,0.01%,-0.02%,0.09%,0.21%,-0.64%,-0.49%,-2.22%,-6.14%,7.23%,23.10%,51.83%,34.65%,18.02%,0.90,2.75,4.01%,3.04%,0.29%,4.77%,26.88%,-6.56%,23.57%,-6.56%,66.88%,-6.56%,327601.11%,53.27,2/28/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,-1.65%,0.72%,2.00,431.12,0.74,179358,2882,95.67,88.01,88.64,89.57,86.99,87.18,-0.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",4202.21,95.21,15.85,1.50,0.37,1.66,8.35,93.47,42.34,8.45,1.00,1.42%,451.08%,0.74,0.70,667.38%,15.94%,-38.63%,63.30%,3.37%,-0.36%,-132.99%,11287.61,44.25,-381.22%,0.05%,59.51,58.94,99.04%,1.13%,1.50%,101.81%,-3.35%,7.40%,2.27,4.36,0.35%,1.70%,0.68%,1.20,0.29,1.59,1.76,40.36%,1.17%,0.39%,0.05%,-0.13%,-0.21%,-0.16%,-0.30%,-0.33%,-0.35%,-0.75%,0.37%,-0.71%,-9.77%,-11.36%,15.00%,41.07%,-42.80%,15.51%,1.22,2.79,3.97%,3.21%,-13.78%,-3.93%,9.49%,-20.40%,17.13%,-45.73%,47.70%,-71.17%,471.74%,32.08,2/28/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,-2.23%,2.27%,3.11,1924.90,0.55,591701,6181,66.39,70.50,72.10,72.49,70.18,70.50,-0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,23.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.11%,-0.16%,-0.16%,-0.11%,0.11%,0.04%,-1.21%,-0.33%,-1.94%,7.46%,0.61%,-15.38%,-27.59%,-20.28%,-20.94%,1.81,0.64,3.63%,3.25%,3.06%,-4.24%,-23.60%,-18.20%,9.27%,-39.79%,9.27%,-39.79%,27.44%,51.71,,8/9/2022,Yes,Yes,,-0.33%,-1.35%,,137.15,1.13,87067,474,,18.47,18.22,18.42,17.93,18.16,-1.68%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,19408175,18.48,-0.02,1536048.17,8.59,14151422.78,269.20,16380925.80,541.12,18857001.13,3421.24,2.19,,,,-7.51,"U.S. single-asset AAPL leverage"
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.88,3.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03%,0.03%,0.03%,-0.02%,-0.02%,-0.09%,-0.16%,0.50%,-0.07%,0.57%,-3.91%,-1.70%,6.19%,3.18%,-5.71%,10.08%,-1.15,0.41,1.86%,1.64%,-1.96%,0.77%,3.93%,-4.61%,8.73%,-8.20%,13.10%,-29.65%,13.10%,45.82,,8/9/2022,Yes,Yes,,0.07%,0.82%,,261.35,0.89,130590,635,,22.03,22.21,22.37,22.07,22.23,0.89%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,8,31966483,22.05,0.01,-7227272.78,-18.44,-7742179.52,-19.50,-1338112.76,-4.02,10060582.44,45.93,-5.75,,,,-4.26,"U.S. single-asset AAPL inverse"
20,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",2703876.78,27.24,24.60,2.48,7.01,36.53,36.99,25.30,4.79,4.73,1.01,0.58%,15.32%,6.43,1.51,7.02%,8.49%,15.55%,11.00%,8.34%,2.07%,15.81%,385706.00,100913.00,3.77%,1.35%,15550.06,15427.70,99.21%,0.09%,-3.74%,61.75%,-0.48%,0.71%,1.76,108.78,28.82%,154.27%,59.65%,1.07,1.02,1.28,1.46,45.03%,30.76%,26.16%,0.00%,0.01%,-0.02%,0.00%,-0.01%,0.04%,0.05%,-0.55%,-0.09%,-0.40%,3.95%,1.21%,-5.82%,-3.10%,5.76%,-9.05%,1.26,3.21,1.90%,1.70%,1.97%,-1.12%,-4.20%,-8.35%,4.78%,-12.28%,8.47%,-12.28%,356467.64%,53.81,5/2/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,-0.16%,-0.66%,2.18,61775.81,0.97,33797478,414352,198.52,176.55,175.38,176.63,173.85,175.10,-0.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr To April 2026","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.12%,-0.78%,,,,,-1.02%,,0.12,0.42%,,-0.55%,-0.55%,-0.55%,-1.14%,0.16%,-1.14%,0.16%,-1.14%,0.16%,,,4/1/2024,No,Yes,,-0.12%,0.14%,,138.93,0.13,10104,7,,24.55,24.58,24.58,24.56,24.56,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"AAPU","Direxion Daily AAPL Bull 1.5X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.64,2.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10%,-0.10%,0.07%,0.03%,-0.03%,0.02%,0.16%,-1.03%,0.07%,-0.99%,7.47%,1.82%,-9.55%,-8.21%,-0.01%,-14.60%,1.66,0.73,3.81%,2.84%,3.65%,-1.73%,-9.06%,-12.69%,9.35%,-21.87%,9.35%,-21.87%,50.53%,54.06,,8/9/2022,Yes,Yes,,-0.27%,-1.47%,,293.54,2.72,449912,1488,,23.82,23.47,23.76,23.09,23.41,-1.73%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,9,59529789,23.81,-0.02,8796015.28,17.34,28095345.68,89.38,27473950.94,85.71,41793395.25,235.64,9.54,,,,-0.70,"U.S. single-asset AAPL leverage"
23,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.04%,-1.12%,0.05%,1.49%,7.25%,0.62%,-15.01%,,,-14.80%,,0.73,3.50%,3.09%,2.94%,-4.37%,-7.70%,-18.51%,9.07%,-23.20%,9.07%,-23.20%,9.07%,51.87,,1/11/2024,Yes,Yes,,-0.98%,-0.79%,,22.30,2.12,26621,84,,21.56,21.39,21.39,20.86,21.18,-1.76%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,3,3820122,21.22,-0.00,1394200.00,57.47,3652100.00,2173.58,3652100.00,2173.58,3652100.00,2173.58,,,,,-43.17,"U.S. single-asset AAPL leverage"
24,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.29,5.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.08%,-0.46%,-0.46%,-0.04%,0.14%,2.96%,-0.02%,-7.18%,,,-10.04%,,0.25,0.55%,0.59%,1.30%,-1.83%,-6.00%,-7.82%,3.26%,-11.80%,3.26%,-11.80%,3.26%,52.20,,10/27/2023,Yes,No,,0.14%,-0.59%,,0.85,2.07,995,15,,24.16,24.01,24.03,24.01,24.05,-0.45%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,6,482672,24.13,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,3.26,"U.S. single-asset options AAPL covered-call"
25,"AAT","American Assets Trust Inc","RUT","Real Estate","REIT - Diversified","USA",1255.15,24.61,,,2.85,1.05,15.14,11.87,19.67,1.36,1.35,6.55%,157.63%,0.84,,,,14.84%,,6.14%,6.12%,37.85%,441.16,50.38,6.25%,0.91%,60.90,47.43,77.88%,22.11%,0.00%,77.07%,-1.80%,1.81%,2.71,0.86,1.71%,4.23%,1.78%,,,1.36,1.44,35.75%,27.60%,11.42%,0.00%,-0.43%,-0.29%,-0.39%,-0.48%,-0.46%,-0.43%,-0.77%,-0.58%,-1.01%,-3.78%,-1.90%,-12.04%,11.77%,16.31%,-8.44%,1.28,0.56,3.07%,2.27%,-2.93%,-3.88%,-1.51%,-9.53%,-0.10%,-13.84%,20.81%,-58.16%,28.48%,43.34,4/30/2024 4:30:00 PM,1/13/2011,Yes,Yes,228,-1.22%,0.46%,3.33,317.42,0.34,60140,581,19.50,20.77,20.86,20.93,20.61,20.61,-0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
