"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAL","American Airlines Group Inc","S&P 500","Industrials","Airlines","USA",9567.83,13.46,4.52,0.28,0.18,,1.13,7.93,-7.95,12.99,,,0.00%,1.09,-0.22,-5.22%,28.91%,-16.77%,48.70%,16.93%,-0.96%,-97.42%,52788.00,822.00,171.28%,0.38%,654.27,643.06,98.29%,1.49%,-0.18%,52.46%,1.46%,6.35%,1.13,40.80,1.29%,,2.69%,0.62,0.51,,,22.37%,7.59%,1.56%,0.00%,0.00%,0.00%,0.07%,0.14%,0.07%,0.14%,-0.07%,0.00%,-0.98%,-1.61%,5.93%,17.87%,-2.72%,-12.86%,6.55%,1.57,0.49,2.39%,3.29%,0.45%,3.41%,2.24%,-7.58%,14.55%,-23.27%,34.81%,-75.22%,77.45%,52.76,1/25/2024 8:30:00 AM,12/9/2013,Yes,Yes,129700,-0.61%,-1.14%,2.30,36054.95,0.60,21536061,32077,17.57,14.90,14.73,14.89,14.52,14.64,-1.74%,14.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAMC","Altisource Asset Management Corp","-","Financial","Mortgage Finance","USA",12.34,,,,,,0.34,1.84,-22.61,13.04,,,,-6.28,,,,-4.29%,,263.60%,-522.61%,-101.71%,-1.75,-24.39,,,3.03,2.76,91.09%,0.00%,,1.71%,-73.81%,1.40%,0.40,0.04,-29.44%,-53.99%,-74.51%,,,0.02,0.33,82.40%,955.16%,1391.39%,1.59%,1.59%,1.59%,1.59%,2.05%,2.05%,1.82%,2.29%,1.59%,1.06%,-2.40%,-13.54%,49.00%,-24.24%,-81.57%,7.97%,,0.41,6.03%,8.02%,-6.25%,-3.76%,-73.30%,-38.60%,39.69%,-92.66%,69.32%,-99.37%,69.32%,47.93,8/14/2023 4:30:00 PM,12/13/2012,No,Yes,55,-0.22%,1.82%,,97.76,0.03,2481,33,,4.40,4.48,4.48,4.37,4.47,1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",49.37,19.79,,,0.27,0.50,,9.74,4.84,,0.02,0.83%,36.23%,0.12,,,,-22.86%,,0.42%,-3.78%,298.44%,185.28,2.70,,,20.41,3.89,19.06%,80.92%,0.00%,4.70%,1.23%,0.30%,1.59,0.01,0.92%,3.16%,1.96%,0.76,,0.40,0.40,,3.76%,1.46%,-0.83%,-4.38%,-4.38%,-4.76%,0.00%,0.00%,0.00%,-2.44%,-1.44%,0.42%,-4.91%,-10.04%,41.52%,22.84%,-4.72%,-1.23%,0.31,0.18,6.40%,7.19%,-5.84%,3.08%,17.68%,-12.00%,31.52%,-12.00%,62.42%,-84.85%,566.15%,46.13,,3/17/1980,No,Yes,142,-0.82%,-1.21%,,7.33,1.10,8093,64,,2.47,2.44,2.54,2.39,2.42,-2.02%,2.40,-4.38%,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAN","Aarons Company Inc","RUT","Industrials","Rental & Leasing Services","USA",318.77,35.80,9.67,,0.14,0.45,8.11,3.11,23.10,1.30,0.50,4.76%,,0.29,0.03,-47.26%,-0.46%,,,6.23%,-11.41%,73.51%,2199.99,9.32,-85.99%,-1.94%,30.62,29.08,94.97%,4.12%,8.51%,92.61%,-7.44%,2.39%,2.13,0.69,0.51%,1.33%,0.68%,,,0.95,0.98,51.15%,5.55%,0.42%,0.00%,0.00%,0.00%,0.43%,0.48%,-0.10%,0.00%,-0.10%,-0.47%,-0.10%,0.96%,2.64%,19.43%,-15.38%,-30.26%,-3.40%,1.47,0.39,3.09%,3.05%,0.38%,-1.93%,-7.62%,-11.68%,8.69%,-34.96%,56.40%,-71.97%,56.40%,50.10,2/26/2024 4:30:00 PM,11/4/1982,Yes,Yes,10060,-1.59%,-1.39%,2.33,326.92,0.46,150643,1328,11.80,10.83,10.68,10.73,10.45,10.51,-2.95%,10.51,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAOI","Applied Optoelectronics Inc","-","Technology","Communication Equipment","USA",758.42,,49.24,,3.47,4.10,24.28,,5.20,0.88,,,,-2.12,0.00,51.92%,189.24%,,13.00%,-2.56%,10.33%,51.33%,218.78,-62.44,-1.01%,-0.11%,35.54,32.81,92.32%,7.66%,-2.40%,68.89%,-2.68%,23.87%,2.43,7.83,-15.85%,-33.13%,-34.10%,0.87,0.51,0.03,0.74,19.58%,-25.22%,-28.54%,0.00%,-0.28%,-0.09%,-0.09%,-0.09%,-0.09%,1.32%,1.18%,0.23%,-2.19%,6.54%,28.40%,67.90%,65.04%,654.06%,10.46%,2.14,2.06,10.83%,9.93%,17.60%,11.54%,94.06%,-11.38%,44.19%,-11.38%,1233.75%,-79.36%,1341.89%,58.11,2/22/2024 4:30:00 PM,9/26/2013,Yes,Yes,2213,-7.06%,2.45%,1.60,3218.19,1.62,5197925,24445,21.67,22.41,22.96,24.75,21.25,21.34,-4.77%,21.43,0.42%,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAON","AAON Inc.","RUT","Industrials","Building Products & Equipment","USA",6848.53,41.30,35.27,3.44,6.13,10.03,303.84,233.66,8.40,0.28,0.40,0.47%,23.17%,2.04,0.53,71.77%,12.21%,12.49%,12.00%,21.99%,28.59%,69.86%,1116.48,169.47,17.26%,5.88%,80.14,66.79,83.34%,17.79%,-2.12%,71.46%,-0.20%,3.48%,6.13,2.32,19.59%,28.10%,21.62%,3.03,1.50,0.15,0.15,31.68%,18.83%,15.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-4.42%,-5.20%,3.56%,19.83%,32.21%,38.61%,60.14%,14.12%,0.91,2.48,3.07%,3.20%,13.06%,16.66%,30.90%,-1.02%,34.06%,-1.02%,63.69%,-1.02%,316775.48%,71.30,2/28/2024 4:30:00 PM,1/3/1991,Yes,Yes,3666,0.21%,-0.57%,2.00,378.91,1.16,440521,4652,76.33,84.60,84.12,84.93,83.18,84.30,-0.35%,80.09,-4.99%,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",3837.15,20.67,17.71,,0.34,1.45,12.08,,44.50,5.34,1.73,2.69%,72.59%,3.12,0.21,-88.05%,133.64%,5.18%,,3.92%,2.94%,-144.49%,11296.48,186.08,-156.97%,1.57%,59.26,58.87,99.34%,1.06%,1.64%,101.64%,-3.36%,7.91%,2.70,4.66,1.53%,6.94%,2.80%,1.23,0.27,1.51,1.51,41.51%,2.85%,1.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,-0.48%,-0.78%,-2.27%,1.88%,3.73%,15.84%,-7.16%,-57.37%,5.67%,1.16,2.25,3.43%,3.39%,-1.96%,3.26%,-5.29%,-7.15%,23.26%,-57.59%,35.11%,-73.63%,423.03%,50.50,2/28/2024 8:30:00 AM,11/29/2001,Yes,Yes,67000,0.19%,-0.43%,3.21,1722.70,1.02,1763016,16745,54.62,64.65,64.37,66.66,63.94,64.49,-0.25%,64.50,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,21.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,0.10%,-0.76%,-0.69%,-6.86%,-7.92%,-23.85%,-15.56%,-2.27%,-11.89%,2.05,0.67,2.65%,2.81%,-7.50%,-14.37%,-19.54%,-30.57%,3.27%,-32.89%,11.58%,-32.89%,42.04%,32.22,,8/9/2022,Yes,Yes,,-1.27%,-0.63%,,35.42,0.90,31909,348,,20.63,20.50,20.74,20.15,20.24,-1.89%,20.23,-0.05%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,5057336,20.61,-0.02,-450941.96,-8.19,1415909.94,38.88,1976758.94,64.17,4879440.86,2742.87,15.96,,,,-2.56,"U.S. single-asset AAPL leverage"
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.88,4.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.05%,0.05%,0.05%,0.05%,-0.14%,0.07%,0.19%,3.63%,3.82%,3.08%,-4.72%,-15.18%,5.99%,-1.28,0.34,1.46%,1.54%,3.85%,4.29%,0.39%,-1.34%,8.91%,-21.38%,8.91%,-32.26%,8.91%,63.99,,8/9/2022,Yes,Yes,,0.61%,0.19%,,216.48,1.25,271003,569,,21.23,21.27,21.49,21.11,21.40,0.80%,21.42,0.09%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,8,36402515,21.41,-0.00,-2340133.89,-6.04,8155365.12,28.87,4562042.84,14.33,19583065.71,116.43,-11.64,,,,-6.96,"U.S. single-asset AAPL inverse"
20,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",2815212.75,28.37,25.55,2.58,7.30,38.04,38.51,26.34,4.79,4.73,1.01,0.55%,15.32%,6.43,1.52,7.12%,8.65%,15.55%,11.00%,8.34%,2.07%,15.81%,385706.00,100913.00,3.77%,1.35%,15550.06,15428.30,99.22%,0.09%,-4.40%,61.60%,-0.48%,0.64%,1.86,99.24,28.82%,154.27%,59.65%,1.07,1.02,1.28,1.46,45.03%,30.76%,26.16%,0.00%,-0.01%,-0.01%,-0.00%,0.00%,-0.00%,0.02%,0.01%,-0.00%,-0.56%,-3.46%,-3.35%,-3.03%,4.78%,17.37%,-5.31%,1.30,3.18,1.53%,1.63%,-3.60%,-4.09%,-0.60%,-8.67%,1.71%,-8.67%,26.69%,-8.67%,371149.82%,36.58,2/1/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,-0.71%,-0.13%,2.16,53446.51,0.93,49705322,431830,199.51,183.86,183.62,184.85,181.66,182.31,-0.84%,182.12,-0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AAPU","Direxion Daily AAPL Bull 1.5X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.64,2.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.60%,-0.60%,-0.68%,-0.68%,-0.76%,-0.76%,-0.20%,-0.56%,-1.11%,-5.19%,-5.34%,-7.06%,1.87%,15.73%,-8.76%,1.87,0.64,2.19%,2.35%,-5.47%,-6.89%,-4.70%,-14.53%,2.50%,-16.52%,30.12%,-16.52%,60.84%,35.91,,8/9/2022,Yes,Yes,,-1.07%,-0.35%,,129.84,1.61,209374,950,,25.37,25.28,25.53,24.87,25.01,-1.42%,24.86,-0.60%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,9,34379052,25.00,0.00,1342423.70,4.06,-2165061.05,-5.92,1981318.04,6.12,18989892.37,123.40,18.57,,,,2.21,"U.S. single-asset AAPL leverage"
22,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,-1.09%,-0.99%,-7.24%,-7.67%,,,,-4.95%,,0.66,2.25%,2.21%,-7.68%,-7.06%,-7.06%,-14.32%,2.83%,-14.32%,2.83%,-14.32%,2.83%,,,1/11/2024,Yes,Yes,,-1.75%,-0.54%,,8.94,0.91,8129,43,,24.18,24.05,24.02,23.63,23.63,-2.28%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,3,723000,24.10,-0.02,516400.00,249.95,516400.00,249.95,516400.00,249.95,516400.00,249.95,,,,,-40.24,"U.S. single-asset AAPL leverage"
23,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.82,3.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.11%,-0.62%,-2.94%,-3.57%,-5.39%,,,-5.29%,,0.19,0.14%,0.26%,-3.04%,-3.79%,-3.85%,-7.14%,0.16%,-7.14%,1.25%,-7.14%,1.25%,35.36,,10/27/2023,No,No,,-0.79%,0.00%,,0.28,0.60,167,16,,25.52,25.52,25.32,25.32,25.32,-0.79%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,6,506740,25.34,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,15.05,"U.S. single-asset options AAPL covered-call"
24,"AAT","American Assets Trust Inc","RUT","Real Estate","REIT - Diversified","USA",1326.40,26.01,26.56,,3.01,1.11,16.00,12.54,19.67,1.36,1.46,6.69%,157.63%,0.84,0.14,-13.10%,12.33%,14.84%,,6.14%,6.12%,37.85%,441.16,50.38,6.25%,0.91%,60.90,47.39,77.82%,22.17%,0.00%,76.71%,-1.80%,2.70%,3.41,1.28,1.71%,4.23%,1.78%,,,1.36,1.44,28.21%,20.06%,11.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.87%,-0.64%,-2.16%,-2.29%,9.39%,4.46%,-17.94%,-3.24%,1.29,0.68,2.40%,2.67%,-3.59%,-3.54%,6.27%,-8.95%,4.06%,-18.00%,35.77%,-55.79%,35.77%,44.09,2/6/2024 4:30:00 PM,1/13/2011,Yes,Yes,228,0.88%,-1.82%,3.25,375.30,0.76,286374,2211,22.67,21.99,21.59,22.03,21.33,21.78,-0.95%,21.75,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,
