"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAL","American Airlines Group Inc","S&P 500","Industrials","Airlines","USA",7400.70,18.90,3.97,0.41,0.14,,0.80,,-8.38,14.01,,,0.00%,0.60,1.10,-21.42%,36.46%,-17.73%,45.99%,16.93%,3.13%,-3229.61%,53169.00,500.00,-26.63%,-0.26%,654.27,646.72,98.85%,1.43%,0.00%,58.90%,1.45%,12.90%,2.53,83.42,0.76%,,1.71%,0.58,0.48,,,21.60%,6.83%,0.94%,0.04%,0.04%,-0.04%,-0.04%,-0.04%,-0.04%,-0.09%,0.04%,-0.13%,0.67%,-1.91%,-24.50%,-19.20%,-19.94%,-32.01%,-17.90%,1.45,0.41,2.14%,2.91%,-10.16%,-16.00%,-16.58%,-26.56%,0.53%,-40.88%,3.87%,-80.91%,36.73%,28.20,4/25/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,-0.35%,-1.05%,2.35,33009.43,1.28,42219681,60542,15.67,11.44,11.32,11.36,11.09,11.28,-1.40%,11.27,-0.13%,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAMC","Altisource Asset Management Corp","-","Financial","Mortgage Finance","USA",5.88,0.06,,,,1.81,0.52,0.72,1.28,4.39,,,,41.68,,,,-22.42%,,143.79%,-87.39%,5153.68%,-13.31,99.54,,,2.55,0.86,33.73%,66.20%,0.00%,1.95%,-75.30%,1.32%,1.28,0.01,-52.82%,-122.70%,2623.03%,,,0.17,3.71,82.40%,198.38%,-747.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.50%,3.34%,-12.19%,-26.36%,-32.99%,-61.52%,-93.64%,-44.32%,,0.26,8.91%,10.20%,-9.11%,-21.60%,-39.26%,-42.52%,7.66%,-94.06%,7.66%,-99.68%,7.66%,36.96,,12/13/2012,No,Yes,13,-1.13%,-0.80%,,8.89,0.19,1688,11,,2.35,2.33,2.33,2.23,2.31,-1.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",37.33,,,,0.20,0.36,,4.21,5.04,,0.04,2.19%,,-0.07,,,,12.50%,,0.22%,1.57%,-35.80%,187.52,-1.12,,,20.40,3.86,18.92%,81.07%,0.00%,4.74%,1.25%,0.03%,0.17,0.00,-0.21%,-0.70%,-0.79%,0.62,,0.38,0.39,,1.13%,-0.60%,0.00%,-1.61%,-1.61%,-1.61%,-1.61%,-1.61%,-4.32%,-1.61%,1.10%,0.00%,2.81%,3.98%,-33.70%,-4.69%,-14.49%,-25.31%,0.44,0.10,2.38%,4.43%,5.46%,-2.19%,-13.44%,-27.09%,13.66%,-39.00%,22.82%,-88.54%,403.75%,51.71,,3/17/1980,No,Yes,155,-3.46%,-0.24%,,6.41,1.73,11105,93,,1.90,1.90,1.92,1.78,1.83,-3.68%,1.83,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAN","Aarons Company Inc","RUT","Industrials","Rental & Leasing Services","USA",230.95,,11.07,,0.11,0.34,5.63,40.03,21.89,1.34,0.50,6.63%,550.66%,-0.80,0.04,-83.55%,411.35%,-42.78%,,4.01%,-7.73%,-213.30%,2097.03,-24.16,-117.71%,-1.83%,30.36,29.35,96.67%,4.17%,0.04%,87.23%,-7.38%,2.09%,2.57,0.61,-1.34%,-3.52%,-1.77%,,,1.04,1.05,51.85%,3.73%,-1.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.53%,0.26%,1.20%,1.34%,-5.99%,1.89%,8.49%,-33.22%,-42.71%,-30.70%,1.37,0.34,4.41%,4.17%,-3.19%,1.09%,-15.95%,-12.83%,13.86%,-53.34%,13.86%,-79.89%,13.86%,46.00,5/6/2024 4:30:00 PM,11/4/1982,Yes,Yes,9071,-0.53%,-2.07%,2.71,238.38,1.11,265738,1597,8.60,7.74,7.58,7.66,7.46,7.54,-2.58%,7.58,0.53%,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAOI","Applied Optoelectronics Inc","-","Technology","Communication Equipment","USA",392.21,,12.87,,1.91,1.99,22.53,,5.05,0.45,,,,-1.83,-0.29,1.79%,289.90%,-74.26%,13.00%,-2.51%,-23.30%,-7.04%,205.29,-62.92,-5.95%,-6.70%,38.15,35.77,93.76%,8.05%,0.26%,69.43%,-2.45%,28.63%,5.68,10.24,-17.13%,-34.16%,-22.77%,1.79,1.06,0.41,0.60,27.57%,-23.79%,-30.65%,0.00%,0.00%,0.40%,0.41%,0.29%,0.55%,0.40%,0.90%,1.36%,1.10%,-4.45%,-8.45%,-20.63%,-53.38%,168.09%,-47.83%,2.00,0.73,5.30%,6.27%,-9.75%,-10.11%,-25.64%,-28.46%,4.56%,-59.27%,180.70%,-90.25%,581.08%,40.78,5/9/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,0.30%,-0.40%,2.00,1804.07,0.66,1182827,8555,15.33,10.09,10.05,10.23,9.82,10.08,-0.10%,10.08,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAON","AAON Inc.","RUT","Industrials","Building Products & Equipment","USA",6244.67,35.30,27.48,2.94,5.36,7.95,220.12,46.06,9.56,0.35,0.32,0.41%,15.01%,2.15,0.51,-0.08%,25.74%,31.82%,12.00%,23.88%,-1.45%,4.48%,1164.66,179.82,-4.90%,-7.96%,81.51,67.85,83.24%,17.46%,-2.43%,70.62%,-0.20%,4.56%,3.76,3.10,19.75%,25.80%,22.05%,3.13,1.57,0.04,0.04,34.27%,19.77%,15.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.58%,0.21%,5.51%,0.18%,-7.87%,12.75%,20.44%,2.83%,0.78,2.43,3.25%,2.63%,1.75%,-6.40%,5.56%,-21.15%,8.08%,-21.15%,45.41%,-21.15%,285426.22%,49.24,5/2/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,2.33%,-1.54%,1.80,822.93,1.05,868048,10240,94.67,75.39,74.23,76.68,73.54,75.96,0.76%,75.78,-0.24%,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",3781.10,91.55,14.42,,0.34,1.47,8.38,8.09,43.01,7.56,1.25,1.97%,451.08%,0.69,1.02,631.34%,20.26%,-38.63%,,3.37%,-0.33%,-6.66%,11276.27,41.61,-1.89%,-0.56%,59.51,58.96,99.08%,1.11%,1.36%,104.94%,-3.26%,9.95%,3.46,5.86,0.34%,1.60%,0.64%,1.22,0.29,1.55,1.55,40.04%,0.95%,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,-0.48%,1.25%,-1.80%,-16.40%,-22.44%,4.26%,-9.66%,3.92%,1.23,2.68,3.26%,3.94%,-6.34%,-12.32%,-1.93%,-25.65%,4.64%,-28.39%,32.87%,-74.07%,414.36%,36.99,5/29/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,0.24%,-1.03%,3.17,1697.22,1.11,1885536,17263,63.01,63.93,63.27,63.62,60.80,63.42,-0.80%,63.25,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,16.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04%,0.23%,0.23%,0.23%,0.23%,0.24%,0.42%,0.50%,-1.21%,1.05%,15.35%,23.25%,44.72%,-9.75%,-3.54%,12.84%,2.01,1.00,7.93%,3.76%,17.37%,32.34%,16.75%,-6.70%,62.92%,-14.06%,62.92%,-14.06%,81.89%,75.07,,8/9/2022,Yes,Yes,,-1.22%,-0.38%,,197.59,1.04,206373,1259,,26.34,26.24,26.55,25.65,25.92,-1.59%,26.05,0.50%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,29304879,26.39,-0.02,8158982.06,38.58,5900881.85,25.21,19216000.85,190.47,20657666.57,238.89,14.46,,,,11.90,"U.S. single-asset AAPL leverage"
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.88,4.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.05%,-0.27%,-7.87%,-10.80%,-19.65%,-7.87%,-14.51%,-9.61%,-1.22,0.45,4.13%,1.91%,-8.71%,-14.81%,-14.88%,-23.06%,3.93%,-23.06%,3.93%,-42.23%,3.93%,24.52,,8/9/2022,Yes,Yes,,0.55%,0.17%,,266.08,1.40,371881,966,,18.12,18.15,18.35,18.04,18.25,0.72%,18.26,0.05%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,8,28770405,18.27,-0.00,9100625.52,46.27,-6885358.64,-19.31,-430373.78,-1.47,5519330.11,23.74,-10.90,,,,-13.18,"U.S. single-asset AAPL inverse"
20,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",3258342.99,33.04,29.48,3.15,8.54,43.93,48.52,31.97,4.84,4.38,0.99,0.47%,15.32%,6.43,1.33,7.50%,9.39%,15.55%,10.50%,8.34%,-4.31%,0.25%,381623.00,100389.00,1.65%,0.43%,15550.06,15320.10,98.52%,0.09%,-4.15%,61.94%,-0.48%,0.74%,1.73,113.52,29.99%,147.25%,60.47%,1.04,0.99,1.24,1.41,45.59%,30.98%,26.31%,0.02%,0.02%,-0.00%,0.06%,-0.00%,-0.01%,0.09%,0.13%,0.16%,0.27%,7.92%,12.00%,23.10%,7.34%,15.52%,10.37%,1.25,4.56,4.07%,1.97%,9.03%,16.44%,16.57%,-3.50%,29.51%,-3.50%,29.51%,-3.50%,432607.36%,75.79,5/2/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,-0.64%,-0.18%,2.02,65442.05,1.07,70057339,594328,204.89,214.24,213.85,215.17,211.30,212.49,-0.82%,212.79,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,-0.03%,-0.03%,-0.03%,-0.03%,0.08%,0.16%,0.20%,0.96%,1.31%,,,,1.53%,,0.10,0.29%,0.34%,1.05%,1.99%,1.97%,0.00%,3.83%,0.00%,3.83%,0.00%,3.83%,69.99,,4/1/2024,No,Yes,,0.08%,-0.04%,,71.51,0.38,26834,46,,25.18,25.17,25.20,25.14,25.19,0.04%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,73538302,25.14,0.00,16182360.00,28.21,70824357.50,2609.65,70824357.50,2609.65,70824357.50,2609.65,,,,,7.79,"U.S. options treasuries buffer upside-cap fixed-period"
22,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.64,1.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.45%,0.51%,0.75%,15.45%,23.41%,46.52%,15.89%,23.50%,22.15%,1.86,1.31,8.16%,3.91%,17.42%,32.52%,31.88%,-6.79%,63.48%,-6.79%,63.48%,-6.79%,115.31%,75.35,,8/9/2022,Yes,Yes,,-0.98%,-0.62%,,633.07,1.87,1183224,4830,,34.02,33.81,34.33,33.11,33.48,-1.59%,33.64,0.48%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,9,121476408,33.51,-0.00,32323682.57,36.26,42120849.46,53.08,59649347.36,96.48,66966013.86,122.85,26.54,,,,19.45,"U.S. single-asset AAPL leverage"
23,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.60%,-1.45%,15.88%,23.44%,44.88%,,,21.80%,,1.14,7.72%,3.62%,17.68%,32.60%,31.25%,-6.49%,63.23%,-6.49%,63.23%,-6.49%,63.23%,75.21,,1/11/2024,Yes,Yes,,-0.75%,-0.65%,,35.28,1.23,43272,242,,30.71,30.51,30.92,29.97,30.28,-1.40%,29.72,-1.85%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,3,8305200,30.76,-0.02,3767600.00,83.03,4322000.00,108.51,6579900.00,381.38,6579900.00,381.38,,,,,59.11,"U.S. single-asset AAPL leverage"
24,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.75,6.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,0.06%,2.98%,4.50%,10.61%,-2.51%,,-0.75%,,0.25,1.05%,0.49%,3.84%,8.10%,4.70%,-0.25%,15.77%,-2.69%,15.77%,-2.69%,15.77%,73.08,,10/27/2023,Yes,Yes,,-1.73%,1.71%,,1.57,1.22,1914,100,,26.55,27.00,27.00,26.50,26.53,-0.04%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,6,1061492,26.54,-0.00,255262.00,31.66,489571.00,85.60,489571.00,85.60,489571.00,85.60,,,,,22.37,"U.S. single-asset options AAPL covered-call"
