"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAM","AA Mission Acquisition Corp","-","Financial","Shell Companies","USA","NYSE",532.31,,,,,1.31,917.78,,7.75,0.01,,,,,,,,,,,,,,,,,52.60,36.47,69.33%,30.66%,0.00%,60.10%,,0.11%,0.14,0.04,,,,1.56,1.56,0.00,0.00,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.50%,1.00%,,,0.20%,,0.02,0.16%,0.18%,0.22%,0.46%,0.70%,-0.59%,1.00%,-0.59%,1.61%,-0.59%,1.61%,64.75,,9/16/2024,No,Yes,,0.00%,0.00%,,271.23,0.00,482,3,,10.12,10.12,10.12,10.12,10.12,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAM-U","AA Mission Acquisition Corp","-","Financial","Shell Companies","USA","NYSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.01,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.94%,1.74%,,,0.14%,,0.01,0.02%,0.03%,0.62%,0.97%,1.21%,0.00%,1.55%,0.00%,1.85%,0.00%,1.85%,72.27,,8/1/2024,No,No,,0.00%,0.00%,,22.14,0.00,0,0,,10.15,10.15,10.15,10.15,10.15,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp","-","Financial","Insurance - Life","USA","NASD",30.40,,,,0.16,0.29,,24.92,5.18,,0.02,1.34%,,-0.36,,,,12.50%,,-1.43%,-0.16%,-234.91%,185.93,-7.31,,,20.40,3.83,18.77%,81.21%,0.00%,4.52%,0.32%,1.08%,8.28,0.04,-1.96%,-6.76%,-5.02%,0.88,,0.38,0.38,,-2.94%,-3.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-2.61%,-3.24%,0.68%,-0.67%,-2.61%,-10.62%,-10.24%,-40.40%,-3.25%,0.47,0.07,4.91%,4.16%,-0.88%,-4.38%,-11.90%,-17.68%,18.25%,-50.33%,18.25%,-90.67%,310.15%,46.88,,3/17/1980,No,Yes,155,0.68%,-3.90%,,4.99,1.04,2876,25,,1.54,1.48,1.54,1.48,1.49,-3.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAMI","Acadian Asset Management Inc","RUT","Financial","Asset Management","USA","NYSE",921.75,15.04,8.13,,1.91,,12.93,10.04,-0.48,1.91,0.04,0.16%,2.59%,1.64,0.90,42.98%,19.45%,4.14%,,-13.25%,19.24%,-2.82%,483.50,65.30,28.26%,8.62%,37.32,36.66,98.23%,1.77%,-9.58%,100.43%,-3.02%,4.84%,8.45,1.77,11.78%,2612.00%,20.30%,,,,,96.03%,25.40%,13.51%,0.13%,0.14%,0.07%,0.02%,-0.06%,-0.06%,0.06%,-0.41%,-0.59%,-1.48%,-1.83%,-18.45%,-7.14%,-1.00%,28.05%,-6.23%,1.48,0.84,3.18%,3.08%,-6.60%,-13.80%,-0.72%,-21.64%,4.93%,-21.64%,29.93%,-21.64%,584.21%,28.15,10/31/2024 8:30:00 AM,10/9/2014,Yes,Yes,387,-1.48%,2.54%,3.67,209.83,0.26,30655,661,28.00,24.45,25.07,25.41,24.64,24.70,1.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAOI","Applied Optoelectronics Inc","RUT","Technology","Communication Equipment","USA","NASD",1443.38,,33.43,,6.89,6.37,34.89,,4.73,0.86,,,,-2.07,-0.02,-92.67%,211.37%,-74.26%,,4.02%,4.16%,-53.62%,209.55,-80.90,-24.93%,4.08%,44.85,44.56,99.35%,6.99%,-4.44%,63.37%,1.26%,18.89%,2.28,8.42,-20.64%,-41.44%,-27.62%,1.61,1.06,0.38,0.57,25.87%,-32.91%,-38.61%,0.07%,0.07%,0.00%,-0.03%,-0.43%,-0.63%,-1.03%,-0.02%,0.90%,4.33%,-8.64%,-8.70%,63.57%,153.41%,73.06%,-18.26%,2.42,3.52,7.29%,10.49%,-12.79%,-7.57%,78.85%,-32.29%,94.39%,-32.29%,349.70%,-70.86%,1935.81%,43.63,11/7/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,4.62%,3.63%,2.17,3697.41,0.83,1706643,10264,37.87,27.79,28.80,30.67,28.65,30.13,8.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAON","AAON Inc","-","Industrials","Building Products & Equipment","USA","NASD",10460.27,56.33,43.72,3.76,8.65,13.12,1568.26,85.56,9.81,0.08,0.32,0.25%,15.01%,2.28,0.53,2.32%,30.77%,31.82%,15.00%,27.82%,4.90%,9.84%,1209.56,190.92,10.06%,3.63%,81.25,67.10,82.58%,17.45%,-0.98%,72.47%,-0.95%,2.29%,3.39,1.54,19.33%,25.81%,21.64%,3.06,1.79,0.11,0.11,34.17%,20.14%,15.78%,-0.04%,0.01%,0.08%,0.06%,0.01%,-0.07%,-0.14%,0.53%,0.18%,-2.50%,6.85%,-1.96%,14.88%,36.01%,81.72%,9.36%,0.86,4.20,3.69%,3.12%,4.41%,0.43%,29.13%,-10.67%,14.70%,-10.67%,88.21%,-10.67%,483651.57%,57.97,11/7/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,-1.67%,2.16%,2.38,452.68,0.99,248402,4009,131.75,128.11,130.88,132.05,127.47,128.69,0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA","NYSE",2690.06,61.81,29.05,3.75,0.25,1.04,5.79,11.70,43.49,7.78,1.00,2.22%,451.08%,0.73,-1.31,-187.79%,453.18%,-38.63%,16.50%,3.88%,-21.00%,87.67%,10702.17,43.86,-120.17%,-17.94%,59.73,59.07,98.90%,1.12%,0.37%,111.73%,-1.13%,16.71%,4.02,9.87,0.20%,0.93%,0.68%,1.34,0.62,1.47,1.47,41.13%,0.82%,0.41%,0.01%,-0.08%,-0.02%,-0.01%,0.01%,-0.17%,-0.74%,-0.35%,-0.71%,-0.81%,-2.08%,2.26%,14.10%,-29.26%,-26.54%,-4.77%,1.18,2.07,4.48%,4.72%,0.01%,5.03%,-17.56%,-9.06%,26.53%,-49.15%,26.53%,-81.59%,265.24%,51.36,11/14/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,-1.46%,2.26%,3.04,2452.26,0.27,372530,4468,44.00,44.69,45.70,46.47,45.01,45.03,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.02,,,,,,,,,,,0.00%,-0.01%,-0.02%,-0.11%,-0.04%,-0.04%,-0.07%,0.69%,-0.50%,1.71%,-4.16%,-9.31%,2.54%,-3.55%,40.76%,-10.55%,1.94,1.17,3.85%,3.30%,-8.41%,-2.61%,13.99%,-17.18%,14.51%,-17.18%,89.87%,-17.18%,111.99%,40.31,,8/9/2022,Yes,Yes,,2.40%,1.10%,,82.64,0.49,22733,278,,29.18,29.50,30.47,29.50,30.21,3.52%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,21604560,29.20,0.03,2767320.70,14.69,-2095114.15,-8.84,632960.72,3.02,8029193.69,59.15,36.36,,,,14.34,"U.S. single-asset AAPL leverage"
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.69,4.31%,,,,,,,,,,,,,,,,,,,,,,,0.35,0.14,,,,,,,,,,,-0.00%,0.00%,-0.04%,0.00%,0.06%,0.06%,-0.12%,-0.37%,0.25%,-0.86%,2.03%,3.60%,-2.66%,-1.53%,-22.98%,5.64%,-1.17,0.30,1.91%,1.67%,3.91%,0.08%,-10.81%,-7.78%,9.66%,-32.04%,9.66%,-48.97%,9.66%,57.43,,8/9/2022,Yes,Yes,,-1.10%,-0.67%,,394.37,1.89,413904,761,,16.41,16.30,16.31,16.05,16.12,-1.77%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,10,29944922,16.41,-0.02,8035909.29,36.68,3948299.37,15.19,2363949.79,8.57,-3732735.07,-11.08,-19.45,,,,-13.30,"U.S. single-asset AAPL inverse"
20,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA","NASD",3569691.98,39.11,28.73,4.89,9.13,63.01,54.77,32.81,3.77,4.33,1.03,0.43%,16.11%,6.07,2.35,21.28%,12.04%,15.41%,8.00%,9.18%,6.07%,-33.99%,391035.00,93736.00,-39.39%,0.44%,15116.79,15102.60,99.91%,0.09%,-6.13%,62.64%,0.44%,1.04%,3.48,157.01,26.13%,157.41%,61.07%,0.87,0.83,1.70,2.09,46.21%,31.51%,23.97%,0.01%,-0.03%,0.01%,-0.04%,-0.15%,-0.05%,0.09%,0.28%,-0.24%,0.93%,-1.99%,-4.27%,2.63%,1.09%,27.68%,-5.21%,1.22,4.75,2.01%,1.79%,-4.02%,-0.69%,9.69%,-8.74%,8.04%,-8.74%,44.68%,-8.74%,373045.23%,41.30,1/30/2025 4:30:00 PM,12/12/1980,Yes,Yes,164000,1.17%,0.58%,2.06,45135.15,0.65,16441776,191795,249.39,233.28,234.64,238.54,234.43,237.38,1.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.00,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.07%,-0.07%,-0.07%,0.15%,-0.26%,0.61%,2.98%,,0.28%,,0.09,0.20%,0.24%,0.14%,0.19%,3.14%,-0.47%,2.10%,-0.47%,8.96%,-0.47%,8.96%,52.92,,4/1/2024,No,Yes,,-0.07%,0.59%,,8.38,0.01,24,2,,26.30,26.45,26.45,26.45,26.43,0.52%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,69790400,26.34,0.00,-661662.50,-0.94,-2643377.50,-3.65,0.00,0.00,63648737.50,1036.34,,,,,7.66,"U.S. options buffer SP500 fixed-period"
22,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.80,2.37%,,,,,,,,,,,,,,,,,,,,,,,0.28,0.15,,,,,,,,,,,-0.05%,-0.03%,-0.11%,-0.02%,-0.20%,-0.14%,0.01%,0.61%,-0.67%,1.79%,-4.26%,-10.24%,1.57%,-5.65%,46.31%,-10.59%,1.81,1.37,4.01%,3.49%,-8.71%,-3.26%,12.04%,-17.36%,13.40%,-17.36%,84.88%,-17.36%,143.50%,39.43,,8/9/2022,Yes,Yes,,2.19%,1.29%,,531.06,1.74,515805,1893,,32.51,32.93,33.99,32.88,33.65,3.51%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,11,83761661,32.53,0.03,9074816.17,12.15,-4831796.91,-5.45,2640243.67,3.25,23305353.22,38.55,44.19,,,,19.36,"U.S. single-asset AAPL leverage"
23,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,0.00,0.00%,,,,,,,,,,,,,,,,,,,,,,,0.85,0.02,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.53%,-0.28%,0.03%,-4.06%,-9.15%,2.60%,-4.47%,39.69%,-10.63%,1.24,1.07,3.38%,3.10%,-8.29%,-2.43%,13.47%,-17.22%,13.92%,-17.22%,87.66%,-17.22%,87.66%,40.65,,1/11/2024,Yes,Yes,,2.12%,1.55%,,25.13,0.40,5582,75,,27.82,28.25,28.91,28.64,28.85,3.70%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,5,4216500,28.11,0.03,-1328184.00,-23.95,-2271484.00,-35.01,0.00,0.00,2465416.00,140.79,11.91,,,,11.77,"U.S. single-asset AAPL leverage"
24,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,2.82,10.83%,,,,,,,,,,,,,,,,,,,,,,,7.02,0.02,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.23%,0.08%,0.04%,-0.54%,-1.77%,-3.44%,-0.41%,-0.81%,6.55%,-4.05%,0.46,0.42,1.84%,1.31%,-3.11%,-0.93%,3.85%,-7.04%,4.17%,-7.04%,20.44%,-7.04%,20.44%,41.26,,10/27/2023,Yes,Yes,,-0.54%,2.45%,,2.89,1.01,1633,29,,25.54,26.17,26.09,26.09,26.03,1.90%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,7,2553370,25.53,0.02,808418.00,46.33,1077548.00,73.01,531834.00,26.31,2114525.00,481.84,10.30,,,,13.39,"U.S. single-asset options AAPL covered-call"
25,"AAT","American Assets Trust Inc","RUT","Real Estate","REIT - Diversified","USA","NYSE",1503.66,25.53,50.39,,3.29,1.27,2.82,11.10,19.48,8.75,1.52,6.18%,157.63%,0.97,0.07,3.57%,-43.68%,14.84%,,4.97%,10.44%,41.01%,456.89,58.30,100.00%,10.29%,60.90,45.92,75.40%,24.59%,-0.20%,77.03%,0.31%,1.62%,2.85,0.74,1.84%,4.93%,1.75%,,,1.81,1.81,36.04%,28.14%,12.76%,0.00%,0.00%,-0.08%,0.00%,-0.16%,-0.12%,-0.06%,0.00%,-0.45%,-2.45%,-0.96%,-10.71%,-9.19%,0.20%,5.38%,-5.98%,1.33,0.64,2.81%,2.32%,-3.94%,-8.44%,-0.24%,-15.30%,5.83%,-15.30%,23.27%,-49.88%,53.91%,37.75,2/4/2025 4:30:00 PM,1/13/2011,Yes,Yes,228,-3.06%,3.20%,3.00,260.58,0.52,75249,1213,26.00,24.68,25.47,25.36,24.62,24.69,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,
