"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAM","AA Mission Acquisition Corp","-","Financial","Shell Companies","USA","NYSE",530.21,,,,,1.30,914.15,,7.75,0.01,,,,,,,,,,,,,,,,,52.60,36.47,69.33%,30.66%,0.00%,60.10%,,0.23%,0.22,0.08,,,,1.56,1.56,0.00,0.00,,,,0.00%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,0.00%,0.00%,0.00%,0.00%,0.05%,0.20%,1.00%,,,1.00%,,0.01,0.09%,0.13%,0.18%,0.34%,0.44%,0.00%,0.70%,0.00%,1.20%,0.00%,1.20%,65.75,,9/16/2024,No,Yes,,0.00%,0.00%,,373.24,0.06,7785,8,,10.08,10.08,10.08,10.08,10.08,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAM-U","AA Mission Acquisition Corp","-","Financial","Shell Companies","USA","NYSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.01,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.90%,,,1.00%,,0.01,0.02%,0.09%,0.14%,0.45%,0.63%,-0.10%,1.00%,-0.10%,1.20%,-0.10%,1.20%,57.89,,8/1/2024,No,No,,0.00%,0.00%,,42.24,0.00,0,0,,10.09,10.09,10.09,10.09,10.09,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp","-","Financial","Insurance - Life","USA","NASD",30.00,,,,0.16,0.29,,24.59,5.18,,0.02,1.33%,,-0.36,,,,12.50%,,0.22%,-0.16%,-234.91%,185.93,-7.31,,,20.40,3.83,18.77%,81.21%,0.00%,4.52%,0.33%,1.07%,7.84,0.04,-1.96%,-6.76%,-5.02%,0.88,,0.38,0.38,,-2.94%,-3.93%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.56%,0.00%,-3.23%,-3.23%,-3.23%,-1.96%,-11.76%,-7.41%,-18.03%,-21.88%,-38.78%,0.46,0.08,3.01%,5.81%,-3.06%,-7.13%,-17.09%,-17.13%,19.05%,-50.00%,19.05%,-90.61%,312.91%,43.42,,3/17/1980,No,Yes,155,0.00%,0.00%,,5.23,0.23,415,21,,1.50,1.50,1.55,1.50,1.50,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAOI","Applied Optoelectronics Inc","RUT","Technology","Communication Equipment","USA","NASD",1750.19,,47.77,,8.35,7.44,42.31,,4.73,0.83,,,,-2.07,-0.02,-92.08%,191.26%,-74.26%,,-2.51%,4.16%,-53.62%,209.55,-80.90,-24.93%,4.08%,44.85,41.92,93.47%,7.01%,-4.00%,67.63%,1.15%,22.12%,2.63,9.27,-20.64%,-41.44%,-27.62%,1.61,1.06,0.38,0.57,25.87%,-32.91%,-38.61%,0.00%,0.17%,0.19%,0.01%,0.16%,0.31%,-0.50%,0.17%,-1.03%,-3.59%,-2.74%,24.94%,158.98%,245.82%,51.66%,82.04%,2.38,3.82,11.80%,11.82%,-2.76%,35.19%,135.78%,-20.97%,145.94%,-20.97%,424.93%,-65.99%,2276.35%,54.45,11/7/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,-3.91%,0.47%,2.20,3528.39,0.96,1188114,8452,31.24,36.43,36.60,36.50,34.68,35.17,-3.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAON","AAON Inc","-","Industrials","Building Products & Equipment","USA","NASD",10869.65,58.51,45.40,3.90,8.99,13.63,1629.63,88.91,9.81,0.08,0.32,0.24%,15.01%,2.28,0.53,2.32%,30.79%,31.82%,15.00%,23.88%,4.90%,9.84%,1209.56,190.92,10.06%,3.63%,81.25,67.04,82.51%,17.52%,-0.94%,72.43%,-0.76%,2.69%,4.26,1.80,19.33%,25.81%,21.64%,3.06,1.79,0.11,0.11,34.17%,20.14%,15.78%,-0.01%,-0.11%,-0.10%,-0.01%,-0.26%,-0.14%,0.09%,0.24%,1.63%,1.80%,3.58%,0.38%,38.99%,68.34%,87.67%,80.97%,0.84,4.22,3.55%,3.16%,-0.21%,8.01%,39.35%,-7.21%,26.65%,-7.21%,96.62%,-7.21%,502392.68%,55.46,11/7/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,1.66%,0.14%,2.50,423.96,0.43,64201,1840,125.80,131.32,131.50,134.41,131.50,133.68,1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA","NYSE",2685.99,61.97,27.61,4.43,0.25,1.04,5.78,11.68,43.49,7.81,0.97,2.15%,451.08%,0.73,-1.24,-173.05%,547.72%,-38.63%,14.00%,3.37%,-21.00%,87.67%,10702.17,43.86,-120.17%,-17.94%,59.73,59.07,98.90%,1.12%,0.38%,112.43%,-1.07%,14.55%,3.08,8.59,0.20%,0.93%,0.68%,1.34,0.62,1.47,1.47,41.13%,0.82%,0.41%,0.02%,0.11%,-0.12%,-0.21%,0.00%,-0.44%,-0.35%,-0.46%,3.12%,4.51%,-4.83%,9.59%,9.24%,-29.64%,-29.42%,-26.02%,1.23,2.06,5.23%,5.24%,4.92%,12.16%,-22.09%,-7.76%,26.86%,-49.02%,26.86%,-81.54%,266.18%,58.04,11/14/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,2.87%,0.07%,3.04,2786.01,0.60,587656,4588,43.55,43.86,43.89,45.76,43.40,45.15,2.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,4.31,12.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12%,-0.03%,-0.03%,-0.03%,0.03%,0.04%,0.36%,0.73%,1.47%,0.82%,2.33%,18.94%,29.31%,25.29%,17.45%,47.10%,2.00,0.82,3.00%,2.56%,8.73%,14.09%,34.79%,-0.73%,28.09%,-0.73%,112.38%,-0.73%,137.12%,76.96,,8/9/2022,Yes,Yes,,1.56%,-0.15%,,88.88,1.20,37279,292,,33.32,33.27,33.80,33.27,33.79,1.41%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,22006806,33.34,0.01,-3396555.63,-13.37,-7420186.92,-25.22,7491342.67,51.61,7211690.24,48.74,37.66,,,,21.59,"U.S. single-asset AAPL leverage"
18,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.80,5.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.01%,0.08%,0.07%,0.00%,0.01%,-0.05%,-0.31%,0.07%,-0.31%,-1.01%,-8.07%,-13.18%,-13.62%,-21.91%,-23.42%,-1.20,0.23,1.54%,1.35%,-4.14%,-6.45%,-17.54%,-11.54%,0.53%,-34.81%,0.53%,-51.05%,0.53%,25.85,,8/9/2022,Yes,Yes,,-0.63%,0.00%,,263.08,0.95,87126,295,,15.56,15.56,15.53,15.44,15.46,-0.63%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,10,20220752,15.55,-0.01,-3323102.96,-14.11,593804.59,3.03,-5364577.60,-20.97,-6871946.85,-25.36,-18.16,,,,-15.69,"U.S. single-asset AAPL inverse"
19,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA","NASD",3776606.41,41.13,30.16,5.14,9.66,66.27,57.95,34.71,3.77,4.31,1.03,0.41%,16.11%,6.07,2.36,21.39%,12.16%,15.41%,8.00%,9.18%,6.07%,-33.99%,391035.00,93736.00,-39.39%,0.44%,15116.79,15102.60,99.91%,0.09%,-5.44%,62.60%,0.43%,1.02%,3.25,154.10,26.13%,157.41%,61.07%,0.87,0.83,1.70,2.09,46.21%,31.51%,23.97%,0.03%,-0.01%,-0.05%,-0.03%,-0.05%,-0.00%,0.13%,0.30%,-0.01%,0.31%,1.18%,9.40%,15.17%,15.23%,26.03%,29.68%,1.22,3.46,1.55%,1.45%,4.43%,7.25%,19.29%,-0.45%,13.64%,-0.45%,52.17%,-0.45%,392369.46%,77.26,10/31/2024 4:30:00 PM,12/12/1980,Yes,Yes,164000,0.67%,-0.05%,2.00,47486.96,0.69,11416397,145157,247.12,248.13,248.00,249.99,247.80,249.67,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.84%,1.94%,5.26%,,6.96%,,0.07,0.12%,0.25%,0.38%,0.83%,3.86%,-0.03%,2.50%,-0.03%,9.38%,-0.03%,9.38%,61.93,,4/1/2024,No,Yes,,0.00%,0.15%,,9.34,0.03,101,1,,26.50,26.54,26.54,26.54,26.54,0.15%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,71052815,26.56,-0.00,-12047.50,-0.02,-4599505.00,-6.08,64310400.00,953.82,64310400.00,953.82,,,,,9.82,"U.S. options buffer SP500 fixed-period"
21,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.50,1.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10%,-0.05%,-0.05%,-0.06%,-0.11%,-0.08%,0.26%,0.63%,0.00%,0.64%,2.33%,18.87%,27.99%,22.62%,47.47%,55.86%,1.85,1.00,3.16%,2.85%,8.71%,13.96%,33.39%,-0.88%,27.95%,-0.88%,108.60%,-0.88%,174.74%,77.13,,8/9/2022,Yes,Yes,,1.29%,-0.01%,,610.81,1.46,311553,1238,,37.49,37.49,38.07,37.39,37.97,1.28%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,11,96582225,37.51,0.01,-3905733.64,-3.89,-17978541.26,-15.69,22979844.52,31.22,21568048.52,28.75,33.36,,,,21.42,"U.S. single-asset AAPL leverage"
22,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,-0.05%,-0.10%,-0.06%,-0.05%,-0.03%,0.62%,-0.03%,0.94%,2.62%,18.35%,28.63%,23.67%,,55.95%,,0.85,2.58%,2.20%,8.59%,13.74%,33.41%,-0.51%,26.87%,-0.51%,108.99%,-0.51%,108.99%,76.56,,1/11/2024,Yes,Yes,,1.52%,-0.28%,,16.76,3.80,22275,81,,38.30,38.19,38.84,38.49,38.77,1.23%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,5,7654000,38.27,0.01,468416.00,6.52,-1258384.00,-14.12,4171916.00,119.81,4171916.00,119.81,,,,,59.69,"U.S. single-asset AAPL leverage"
23,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,3.15,10.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.07%,-0.07%,-0.07%,0.10%,-0.03%,0.00%,0.13%,0.17%,0.17%,0.94%,5.14%,9.47%,8.09%,5.61%,7.54%,0.49,0.27,0.74%,0.58%,3.43%,4.48%,9.95%,-0.07%,8.49%,-0.07%,25.44%,-0.07%,25.44%,71.77,,10/27/2023,Yes,No,,-1.13%,1.63%,,1.40,1.36,663,23,,28.61,29.08,29.08,29.08,28.75,0.48%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,7,2004226,28.63,0.00,269130.00,15.51,541582.00,37.03,1306107.00,187.09,1306107.00,187.09,17.22,,,,25.38,"U.S. single-asset options AAPL covered-call"
24,"AAT","American Assets Trust Inc","RUT","Real Estate","REIT - Diversified","USA","NYSE",1705.62,28.78,56.23,,3.73,1.43,3.20,12.59,19.48,8.70,1.52,5.48%,157.63%,0.97,0.09,5.95%,-44.38%,14.84%,,6.14%,10.44%,41.01%,456.89,58.30,100.00%,10.29%,60.90,45.92,75.40%,24.59%,-0.20%,77.01%,0.27%,1.73%,3.38,0.79,1.84%,4.93%,1.75%,,,1.81,1.81,36.04%,28.14%,12.76%,0.00%,0.05%,-0.09%,0.11%,-0.01%,0.03%,0.13%,-0.15%,0.22%,0.20%,-0.59%,2.18%,3.13%,29.22%,18.60%,23.66%,1.32,0.55,1.85%,1.92%,-0.59%,0.85%,14.37%,-4.51%,7.26%,-4.51%,38.97%,-43.49%,73.52%,50.20,10/29/2024 4:30:00 PM,1/13/2011,Yes,Yes,228,-0.52%,0.58%,3.00,235.09,0.80,65706,938,26.00,27.82,27.98,27.98,27.61,27.83,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,1.37,1.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.01%,0.01%,0.04%,0.08%,-0.01%,-0.09%,-0.09%,-1.45%,-2.55%,1.93%,3.32%,3.71%,12.99%,12.51%,0.62,0.80,0.66%,0.70%,0.21%,-1.75%,3.40%,-8.94%,2.27%,-8.94%,22.19%,-26.53%,242.27%,47.47,,8/15/2008,Yes,Yes,,0.03%,-0.65%,,594.08,0.23,46991,346,,75.37,74.88,75.17,74.86,74.90,-0.62%,,,"Global or ExUS Equities - Broad / Regional","Equities (Stocks)","Global Ex. US Equities",,"Asia ex-Japan","Passive",0.70%,960,2578227363,75.39,-0.01,0.00,0.00,157922031.00,6.52,-125969848.40,-4.66,-125969848.40,-4.66,17.64,-2.09,3.04,3.99,4.32,"Asia-ex-Japan equity"
