"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAL","American Airlines Group Inc","S&P 500","Industrials","Airlines","USA",9812.74,25.07,4.61,0.52,0.18,,1.07,,-8.38,14.01,,,0.00%,0.60,1.25,-6.95%,31.54%,-17.73%,47.95%,16.93%,3.13%,-3229.61%,53169.00,500.00,-26.63%,-0.26%,654.27,643.08,98.29%,1.98%,-0.14%,53.59%,1.45%,8.19%,1.74,52.68,0.76%,,1.71%,0.58,0.48,,,21.60%,6.83%,0.94%,-0.05%,-0.12%,-0.24%,-0.22%,-0.09%,-0.40%,-0.72%,-0.57%,-1.31%,-1.86%,3.72%,14.78%,0.65%,26.96%,4.74%,8.85%,1.56,0.47,2.46%,3.28%,5.40%,5.07%,8.22%,-4.19%,17.58%,-21.61%,37.72%,-74.68%,81.29%,59.32,4/25/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,-1.86%,0.33%,2.17,30317.99,1.03,13208973,19421,18.03,15.19,15.24,15.25,14.95,14.96,-1.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAMC","Altisource Asset Management Corp","-","Financial","Mortgage Finance","USA",7.98,,,,,,0.56,1.46,-49.26,5.63,,,,-9.29,,,,-22.42%,,143.79%,-393.39%,-220.62%,-11.69,-32.55,,,2.55,0.70,27.45%,72.71%,0.00%,1.89%,-75.30%,2.22%,1.93,0.02,-45.46%,-89.55%,-171.57%,,,0.03,0.05,82.40%,211.96%,278.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,5.74%,5.74%,-0.63%,5.39%,-8.75%,-26.35%,-10.83%,-93.09%,-24.40%,,0.32,8.52%,10.71%,3.09%,-7.06%,-39.70%,-37.40%,19.92%,-94.86%,19.92%,-99.56%,19.92%,49.12,,12/13/2012,No,Yes,13,-0.63%,5.00%,,8.05,0.63,2162,11,,3.00,3.15,3.13,3.13,3.13,4.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",35.90,,,,0.19,0.35,,4.05,5.04,,0.04,2.27%,,-0.07,,,,12.50%,,0.22%,1.57%,-35.80%,187.52,-1.12,,,20.40,3.86,18.92%,81.06%,0.00%,4.63%,1.30%,1.24%,6.69,0.05,-0.21%,-0.70%,-0.79%,0.62,,0.38,0.39,,1.45%,-0.60%,0.00%,-1.40%,-1.40%,-1.40%,0.00%,0.00%,0.00%,-1.40%,-1.40%,-1.12%,-3.83%,-12.87%,-30.84%,0.00%,-19.27%,-28.17%,0.43,0.14,10.04%,7.35%,-6.26%,-23.34%,-17.16%,-41.33%,5.39%,-41.33%,18.12%,-88.98%,384.48%,34.70,,3/17/1980,No,Yes,155,-1.12%,-0.28%,,7.18,0.23,713,15,,1.78,1.78,1.78,1.76,1.76,-1.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAN","Aarons Company Inc","RUT","Industrials","Rental & Leasing Services","USA",230.95,,10.88,,0.11,0.34,5.63,40.03,21.89,1.34,0.50,6.63%,550.66%,-0.80,0.04,-82.92%,401.21%,-42.78%,,4.01%,-7.73%,-213.30%,2097.03,-24.16,-117.71%,-1.83%,30.36,29.38,96.77%,4.06%,0.85%,88.28%,-7.38%,1.67%,1.81,0.49,-1.34%,-3.52%,-1.77%,,,1.04,1.05,51.85%,3.73%,-1.15%,0.00%,-0.26%,-0.13%,-0.13%,-0.13%,-0.26%,0.17%,0.27%,-0.66%,-0.49%,-0.26%,6.95%,-28.46%,3.86%,-40.25%,-30.70%,1.34,0.28,3.23%,3.50%,4.08%,4.38%,-20.81%,-3.08%,13.86%,-53.34%,13.86%,-79.89%,13.86%,56.09,5/6/2024 4:30:00 PM,11/4/1982,Yes,Yes,9071,-1.18%,0.53%,2.67,271.28,0.33,37416,434,8.60,7.59,7.63,7.66,7.47,7.54,-0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAOI","Applied Optoelectronics Inc","-","Technology","Communication Equipment","USA",422.17,,13.85,,2.06,2.15,24.25,,5.05,0.45,,,,-1.83,-0.29,1.79%,289.90%,-74.26%,13.00%,-2.51%,-23.30%,-7.04%,205.29,-62.92,-5.95%,-6.70%,38.15,35.90,94.10%,7.72%,-0.05%,71.60%,-2.47%,24.58%,3.38,8.82,-17.13%,-34.16%,-22.77%,1.79,1.06,0.41,0.60,27.57%,-23.79%,-30.65%,0.01%,-0.01%,0.05%,-0.32%,-0.18%,-0.15%,-0.64%,-0.18%,-0.82%,-3.56%,0.18%,-9.51%,-48.04%,-1.36%,561.59%,-43.84%,2.04,0.98,11.32%,8.96%,-0.58%,-12.81%,-20.62%,-33.19%,12.55%,-56.16%,561.59%,-89.51%,633.11%,45.89,5/9/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,-4.82%,2.15%,2.00,2613.04,0.67,742464,4001,15.33,11.16,11.40,11.48,10.78,10.85,-2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAON","AAON Inc.","RUT","Industrials","Building Products & Equipment","USA",6326.05,35.76,27.83,2.98,5.43,8.05,222.98,46.66,9.56,0.35,0.32,0.41%,15.01%,2.15,0.51,-0.09%,25.80%,31.82%,12.00%,23.88%,-1.45%,4.48%,1164.66,179.82,-4.90%,-7.96%,81.51,67.66,83.01%,17.70%,-2.85%,70.73%,-0.20%,4.41%,3.85,2.98,19.75%,25.80%,22.05%,3.13,1.57,0.04,0.04,34.27%,19.77%,15.44%,0.08%,0.13%,0.34%,0.10%,-0.30%,-0.39%,-0.36%,-0.72%,-0.38%,1.25%,-0.05%,-12.58%,-5.83%,30.42%,22.17%,4.17%,0.81,3.32,2.58%,3.99%,-9.06%,-9.52%,8.66%,-20.13%,3.87%,-20.13%,47.30%,-20.13%,289147.16%,36.94,5/2/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,0.73%,1.31%,1.80,775.58,1.05,342602,3483,94.67,75.40,76.39,78.00,76.34,76.95,2.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",4529.59,102.63,17.22,1.62,0.40,1.79,9.00,100.75,42.34,8.45,1.00,1.32%,451.08%,0.74,0.71,669.33%,14.74%,-38.63%,63.30%,3.37%,-0.36%,-132.99%,11287.61,44.25,-381.22%,0.05%,59.51,59.00,99.14%,1.02%,1.66%,104.22%,-3.34%,8.04%,2.51,4.75,0.35%,1.70%,0.68%,1.20,0.29,1.59,1.76,40.36%,1.17%,0.39%,0.03%,0.02%,-0.04%,0.02%,0.27%,0.07%,0.30%,0.04%,-0.48%,1.32%,1.61%,6.11%,18.25%,35.84%,-37.69%,24.51%,1.24,2.39,2.71%,3.09%,0.71%,-2.35%,17.14%,-14.20%,10.41%,-38.09%,59.20%,-68.93%,516.28%,51.20,5/29/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,0.21%,0.24%,3.11,1887.75,0.46,369027,4025,66.50,75.64,75.82,77.13,75.45,75.99,0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,20.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02%,-0.05%,-0.05%,-0.05%,0.14%,0.10%,0.00%,0.05%,0.77%,2.28%,7.83%,24.23%,1.94%,-18.24%,-12.83%,-8.27%,1.91,0.72,2.35%,3.19%,16.93%,18.49%,-6.71%,1.64%,32.43%,-30.14%,32.43%,-30.14%,47.86%,70.18,,8/9/2022,Yes,Yes,,1.94%,0.58%,,184.48,2.26,176354,685,,20.55,20.67,21.11,20.55,21.07,2.53%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,15820811,20.55,0.03,-2143125.71,-11.93,8668121.85,121.19,11057018.78,232.11,13533094.11,591.55,0.53,,,,-1.37,"U.S. single-asset AAPL leverage"
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.88,4.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.01%,-0.01%,-0.01%,-0.03%,-0.03%,-0.10%,-0.01%,-0.42%,-0.25%,-3.72%,-10.89%,-3.36%,-3.13%,-9.79%,1.33%,-1.18,0.44,1.20%,1.65%,-8.21%,-9.27%,-5.32%,-13.75%,-0.88%,-13.75%,4.12%,-35.24%,4.12%,29.64,,8/9/2022,Yes,Yes,,-1.07%,-0.19%,,258.29,0.82,89353,300,,20.72,20.68,20.70,20.44,20.46,-1.26%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,8,23837874,20.73,-0.01,-6656828.86,-21.83,-10965841.97,-31.51,-7994941.61,-25.12,-7643446.81,-24.28,-4.62,,,,-7.33,"U.S. single-asset AAPL inverse"
20,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",2911924.20,29.53,26.39,2.68,7.63,39.26,43.36,28.57,4.84,4.38,0.99,0.52%,15.32%,6.43,1.33,7.46%,9.24%,15.55%,11.00%,8.34%,-4.31%,0.25%,381623.00,100389.00,1.65%,0.43%,15550.06,15320.20,98.52%,0.09%,-4.48%,62.51%,-0.48%,0.62%,1.46,94.31,29.99%,147.25%,60.47%,1.04,0.99,1.24,1.41,45.59%,30.98%,26.31%,-0.03%,-0.00%,0.02%,0.00%,0.08%,0.06%,0.05%,0.06%,0.38%,1.40%,3.92%,12.11%,3.12%,2.76%,10.36%,-1.37%,1.24,3.62,1.27%,1.71%,8.55%,9.84%,5.00%,0.85%,15.74%,-4.87%,15.74%,-4.87%,386603.00%,70.98,5/2/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,1.02%,0.29%,2.02,64531.06,1.05,28605738,319664,201.47,187.43,187.98,190.07,187.38,189.90,1.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.08%,0.15%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.77%,1.70%,,,,0.16%,,0.12,0.33%,0.49%,1.43%,1.20%,1.20%,0.04%,2.43%,0.04%,2.43%,0.04%,2.43%,63.30,,4/1/2024,No,No,,0.04%,0.36%,,89.69,0.38,14591,14,,24.75,24.84,24.85,24.81,24.85,0.40%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,51808470,24.67,0.01,17709837.50,51.94,50292145.00,3316.71,50292145.00,3316.71,50292145.00,3316.71,,,,,-2.03,"U.S. options treasuries buffer upside-cap fixed-period"
22,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.64,2.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02%,0.04%,0.14%,0.04%,0.15%,0.09%,0.11%,0.13%,0.78%,2.72%,7.98%,24.38%,7.05%,3.74%,10.13%,-0.80%,1.77,0.92,2.39%,3.33%,17.05%,19.04%,8.17%,1.83%,32.76%,-9.25%,32.76%,-9.25%,74.85%,71.40,,8/9/2022,Yes,Yes,,2.29%,0.42%,,424.62,1.44,259024,1489,,26.47,26.58,27.23,26.48,27.19,2.72%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,9,66910094,26.50,0.03,-148286.15,-0.22,25345960.22,60.98,27325664.79,69.03,41645109.10,164.83,9.36,,,,5.45,"U.S. single-asset AAPL leverage"
23,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.03%,0.15%,-0.17%,0.15%,1.65%,0.57%,7.71%,24.47%,1.75%,,,-1.22%,,0.79,1.91%,2.86%,16.83%,18.35%,9.47%,1.77%,32.38%,-10.96%,32.38%,-10.96%,32.38%,69.85,,1/11/2024,Yes,Yes,,2.12%,0.28%,,27.84,0.61,7171,71,,23.98,24.05,24.57,24.16,24.56,2.40%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,3,3313800,23.67,0.04,-839800.00,-20.22,2295900.00,225.55,2812300.00,560.78,2812300.00,560.78,,,,,-10.04,"U.S. single-asset AAPL leverage"
24,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.51,5.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.39%,0.30%,0.34%,2.34%,8.12%,-0.72%,-4.75%,,-5.07%,,0.26,0.24%,0.42%,6.12%,6.55%,0.27%,0.59%,10.74%,-6.92%,10.74%,-6.92%,10.74%,70.80,,10/27/2023,Yes,Yes,,0.34%,0.37%,,1.03,1.04,451,19,,25.20,25.30,25.38,25.38,25.38,0.71%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,6,753120,25.10,0.01,234309.00,45.16,234309.00,45.16,234309.00,45.16,234309.00,45.16,,,,,12.94,"U.S. single-asset options AAPL covered-call"
25,"AAT","American Assets Trust Inc","RUT","Real Estate","REIT - Diversified","USA",1387.07,25.64,31.21,,3.12,1.16,14.07,11.35,19.70,1.62,1.47,6.45%,157.63%,0.89,0.14,-16.67%,4.29%,14.84%,,6.14%,2.73%,19.01%,444.11,53.50,23.08%,-3.52%,60.90,46.10,75.70%,24.30%,0.00%,77.57%,-1.80%,2.04%,3.35,0.94,1.81%,4.49%,1.83%,,,1.44,1.44,35.66%,27.60%,12.05%,0.00%,0.00%,0.00%,-0.13%,0.00%,-0.26%,-0.04%,0.35%,-0.36%,0.84%,3.17%,11.89%,5.81%,23.27%,20.27%,1.20%,1.31,0.48,1.35%,2.05%,5.68%,6.87%,8.51%,0.53%,13.73%,-4.77%,32.83%,-53.76%,42.01%,66.92,4/30/2024 4:30:00 PM,1/13/2011,Yes,Yes,228,-0.78%,1.64%,3.25,280.58,0.23,27329,352,20.67,22.59,22.96,22.99,22.68,22.78,0.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,
