date,primary_class,reason,secondary_class,p_primary,p_secondary,transition_4q_p,GDP,CPI,Unemp,Unemp_delta,M2_yoy,ATH,NBER_flag,market_code
1955-03-31,Overheating,GDP 8.2%; low unemp <4%; ATH,Expansion,0.66,0.16,0.85,8.2,-0.1,4.2,-0.4,5.0,1,0,1
1955-06-30,Overheating,GDP 6.9%; CPI rising; M2 high,Expansion,0.69,0.15,0.85,6.9,0.3,3.9,-0.3,5.3,1,0,1
1955-09-30,Overheating,GDP 5.8%; tight labor; inflation,Expansion,0.72,0.14,0.85,5.8,0.8,3.7,-0.2,5.6,1,0,1
1955-12-31,Overheating,GDP 4.7%; ATH S&P; growth high,Expansion,0.75,0.12,0.85,4.7,1.2,3.5,-0.2,5.9,1,0,1
1956-03-31,Expansion,GDP 3.2%; stable CPI; unemp 4%,Overheating,0.55,0.22,0.43,3.2,1.6,3.8,0.3,5.2,1,0,0
1956-06-30,Expansion,GDP 2.9%; moderate M2; no stress,Overheating,0.54,0.23,0.43,2.9,2.3,4.1,0.3,4.8,1,0,0
1956-09-30,Expansion,GDP 2.5%; balanced; steady unemp,Overheating,0.53,0.24,0.43,2.5,2.9,4.4,0.3,4.5,1,0,0
1956-12-31,Expansion,GDP 3.1%; CPI 1-3%; no ATH,Overheating,0.52,0.25,0.43,3.1,3.0,4.5,0.1,4.3,1,0,0
1957-03-31,Expansion,GDP 2.8%; stable growth; M2 4%,Overheating,0.51,0.26,0.43,2.8,3.2,4.3,-0.2,4.6,1,0,0
1957-06-30,Expansion,GDP 2.4%; unemp steady; low vol,Overheating,0.5,0.27,0.43,2.4,3.4,4.2,-0.1,4.8,1,0,0
1957-09-30,Recession,NBER start; GDP 0.2%; unemp rise,Stagflation,0.76,0.11,0.9,0.2,3.6,4.5,0.3,4.2,0,1,2
1957-12-31,Recession,GDP -1.9%; low M2; CPI drop,Stagflation,0.79,0.1,0.9,-1.9,3.2,5.1,0.6,3.9,0,1,2
1958-03-31,Recession,GDP -2.3%; unemp >6%; deflation,Stagflation,0.82,0.09,0.9,-2.3,3.6,5.8,0.7,3.5,0,1,2
1958-06-30,Recession,GDP -1.5%; NBER trough; stress,Stagflation,0.85,0.08,0.9,-1.5,3.2,6.4,0.6,3.2,0,1,2
1958-09-30,Recovery,GDP 5.1%; unemp fall; M2 boost,Expansion,0.6,0.19,0.86,5.1,2.4,6.1,-0.3,3.8,0,0,3
1958-12-31,Recovery,GDP 6.4%; low CPI; recovery surge,Expansion,0.58,0.2,0.86,6.4,2.1,5.6,-0.5,4.1,0,0,3
1959-03-31,Recovery,GDP 7.4%; sharp unemp drop; M2 high,Overheating,0.56,0.21,0.86,7.4,1.7,5.1,-0.5,4.4,0,0,3
1959-06-30,Overheating,GDP 9.1%; low unemp; ATH S&P,Expansion,0.67,0.16,0.85,9.1,1.4,4.7,-0.4,4.7,1,0,1
1959-09-30,Overheating,GDP 4.8%; CPI >3%; growth high,Expansion,0.7,0.15,0.85,4.8,1.6,4.4,-0.3,5.0,1,0,1
1959-12-31,Expansion,GDP 3.5%; stable; M2 moderate,Overheating,0.55,0.22,0.43,3.5,1.8,4.2,-0.2,5.2,1,0,0
1960-03-31,Expansion,GDP 2.9%; unemp 5%; balanced,Overheating,0.54,0.23,0.43,2.9,2.0,4.3,0.1,5.4,1,0,0
1960-06-30,Recession,NBER start; GDP 0.7%; unemp rise,Stagflation,0.77,0.11,0.9,0.7,2.3,4.5,0.2,5.1,0,1,2
1960-09-30,Recession,GDP -0.5%; low M2; CPI low,Stagflation,0.8,0.1,0.9,-0.5,2.1,4.8,0.3,4.8,0,1,2
1960-12-31,Recession,GDP -1.2%; unemp >6%; stress,Stagflation,0.83,0.09,0.9,-1.2,1.9,5.2,0.4,4.5,0,1,2
1961-03-31,Recession,GDP 0.3%; NBER trough; no growth,Stagflation,0.86,0.08,0.9,0.3,1.7,5.7,0.5,4.2,0,1,2
1961-06-30,Recovery,GDP 4.2%; unemp drop; M2 surge,Expansion,0.61,0.18,0.86,4.2,1.5,5.4,-0.3,4.8,0,0,3
1961-09-30,Recovery,GDP 5.6%; low CPI; post-trough,Expansion,0.59,0.19,0.86,5.6,1.3,5.1,-0.3,5.1,0,0,3
1961-12-31,Overheating,GDP 6.1%; low unemp; ATH,Expansion,0.68,0.15,0.85,6.1,1.1,4.8,-0.3,5.4,1,0,1
1962-03-31,Overheating,GDP 5.3%; CPI rising; M2 high,Expansion,0.71,0.14,0.85,5.3,1.4,4.6,-0.2,5.7,1,0,1
1962-06-30,Overheating,GDP 4.9%; tight labor; inflation,Expansion,0.74,0.13,0.85,4.9,1.7,4.4,-0.2,6.0,1,0,1
1962-09-30,Expansion,GDP 3.7%; stable CPI; no ATH,Overheating,0.56,0.21,0.43,3.7,1.5,4.3,-0.1,5.3,1,0,0
1962-12-31,Expansion,GDP 3.4%; unemp 5%; moderate,Overheating,0.55,0.22,0.43,3.4,1.3,4.2,-0.1,5.0,1,0,0
1963-03-31,Expansion,GDP 3.1%; balanced growth; M2 6%,Overheating,0.54,0.23,0.43,3.1,1.2,4.3,0.1,5.2,1,0,0
1963-06-30,Expansion,GDP 2.8%; steady unemp; low vol,Overheating,0.53,0.24,0.43,2.8,1.4,4.4,0.1,5.4,1,0,0
1963-09-30,Expansion,GDP 3.0%; CPI 1-2%; stable,Overheating,0.52,0.25,0.43,3.0,1.6,4.5,0.1,5.6,1,0,0
1963-12-31,Expansion,GDP 3.2%; no stress; moderate M2,Overheating,0.51,0.26,0.43,3.2,1.8,4.4,-0.1,5.8,1,0,0
1964-03-31,Overheating,GDP 4.5%; low unemp <4%; ATH,Expansion,0.69,0.15,0.85,4.5,1.5,4.2,-0.2,6.1,1,0,1
1964-06-30,Overheating,GDP 4.8%; CPI >3%; growth high,Expansion,0.72,0.14,0.85,4.8,1.4,4.0,-0.2,6.3,1,0,1
1964-09-30,Overheating,GDP 4.2%; M2 surge; inflation,Expansion,0.75,0.13,0.85,4.2,1.3,3.8,-0.2,6.5,1,0,1
1964-12-31,Overheating,GDP 3.9%; ATH S&P; tight,Expansion,0.78,0.12,0.85,3.9,1.2,3.7,-0.1,6.7,1,0,1
1965-03-31,Expansion,GDP 3.6%; stable CPI; unemp 4-5%,Overheating,0.57,0.21,0.43,3.6,1.4,3.6,-0.1,6.4,1,0,0
1965-06-30,Expansion,GDP 3.3%; moderate M2; balanced,Overheating,0.56,0.22,0.43,3.3,1.5,3.5,-0.1,6.1,1,0,0
1965-09-30,Overheating,GDP 4.7%; low unemp; rising CPI,Expansion,0.73,0.14,0.85,4.7,1.7,3.4,-0.1,6.3,1,0,1
1965-12-31,Overheating,GDP 5.1%; Vietnam spending; ATH,Expansion,0.76,0.13,0.85,5.1,1.9,3.3,-0.1,6.5,1,0,1
1966-03-31,Overheating,GDP 5.4%; CPI >4%; M2 high,Stagflation,0.79,0.1,0.85,5.4,4.2,3.2,-0.1,6.7,1,0,1
1966-06-30,Overheating,GDP 4.6%; tight labor; inflation,Stagflation,0.82,0.09,0.85,4.6,4.5,3.1,-0.1,6.9,1,0,1
1966-09-30,Stagflation,GDP 0.9%; CPI >4%; unemp rise,Recession,0.71,0.13,0.95,0.9,4.8,3.2,0.1,6.2,0,0,4
1966-12-31,Stagflation,GDP 1.2%; high CPI; low growth,Recession,0.74,0.12,0.95,1.2,4.5,3.3,0.1,5.9,0,0,4
1967-03-31,Expansion,GDP 2.5%; CPI moderate; stable,Stagflation,0.55,0.22,0.43,2.5,3.2,3.4,0.1,5.6,0,0,0
1967-06-30,Expansion,GDP 2.7%; unemp steady; M2 5%,Stagflation,0.54,0.23,0.43,2.7,3.0,3.5,0.1,5.3,0,0,0
1967-09-30,Expansion,GDP 2.9%; balanced; no ATH,Stagflation,0.53,0.24,0.43,2.9,3.1,3.6,0.1,5.0,0,0,0
1967-12-31,Expansion,GDP 3.1%; low vol; moderate,Stagflation,0.52,0.25,0.43,3.1,3.3,3.7,0.1,4.7,0,0,0
1968-03-31,Expansion,GDP 3.3%; stable growth; CPI 2%,Overheating,0.51,0.26,0.43,3.3,3.5,3.8,0.1,4.4,1,0,0
1968-06-30,Expansion,GDP 3.0%; unemp 4-5%; balanced,Overheating,0.5,0.27,0.43,3.0,3.7,3.9,0.1,4.1,1,0,0
1968-09-30,Overheating,GDP 4.2%; rising CPI; ATH,Expansion,0.77,0.12,0.85,4.2,4.0,3.8,-0.1,4.3,1,0,1
1968-12-31,Overheating,GDP 4.5%; low unemp; M2 high,Expansion,0.8,0.1,0.85,4.5,4.3,3.7,-0.1,4.5,1,0,1
1969-03-31,Overheating,GDP 3.9%; CPI >4%; tight,Stagflation,0.83,0.09,0.85,3.9,4.6,3.6,-0.1,4.7,1,0,1
1969-06-30,Stagflation,GDP 1.8%; high CPI; unemp rise,Overheating,0.72,0.13,0.95,1.8,4.9,3.7,0.1,4.4,0,0,4
1969-09-30,Stagflation,GDP 1.5%; CPI >4%; low M2,Overheating,0.75,0.12,0.95,1.5,5.2,3.8,0.1,4.1,0,0,4
1969-12-31,Recession,NBER start; GDP 0.2%; unemp >6%,Stagflation,0.79,0.1,0.9,0.2,5.5,4.0,0.2,3.8,0,1,2
1970-03-31,Recession,GDP -0.5%; low growth; stress,Stagflation,0.82,0.09,0.9,-0.5,5.8,4.3,0.3,3.5,0,1,2
1970-06-30,Recession,GDP -0.8%; unemp rising; low CPI,Stagflation,0.85,0.08,0.9,-0.8,6.1,4.7,0.4,3.2,0,1,2
1970-09-30,Recession,GDP 0.3%; NBER; M2 low,Stagflation,0.88,0.07,0.9,0.3,5.9,5.1,0.4,3.0,0,1,2
1970-12-31,Recession,GDP -1.1%; trough; unemp >6%,Stagflation,0.91,0.06,0.9,-1.1,5.7,5.5,0.4,2.8,0,1,2
1971-03-31,Recovery,GDP 4.3%; unemp drop; M2 surge,Expansion,0.62,0.18,0.86,4.3,5.5,5.2,-0.3,3.1,0,0,3
1971-06-30,Recovery,GDP 4.6%; low CPI; post-trough,Expansion,0.6,0.19,0.86,4.6,5.3,4.9,-0.3,3.4,0,0,3
1971-09-30,Recovery,GDP 3.9%; sharp fall unemp; M2 high,Expansion,0.58,0.2,0.86,3.9,5.1,4.6,-0.3,3.7,0,0,3
1971-12-31,Expansion,GDP 3.5%; stable CPI; balanced,Overheating,0.57,0.21,0.43,3.5,4.9,4.4,-0.2,4.0,1,0,0
1972-03-31,Expansion,GDP 3.2%; unemp steady; moderate,Overheating,0.56,0.22,0.43,3.2,4.7,4.3,-0.1,4.3,1,0,0
1972-06-30,Expansion,GDP 3.4%; no ATH; M2 6%,Overheating,0.55,0.23,0.43,3.4,4.5,4.2,-0.1,4.6,1,0,0
1972-09-30,Overheating,GDP 4.1%; low unemp; rising CPI,Expansion,0.74,0.13,0.85,4.1,4.3,4.0,-0.2,4.9,1,0,1
1972-12-31,Overheating,GDP 4.7%; ATH S&P; growth high,Expansion,0.77,0.12,0.85,4.7,4.1,3.8,-0.2,5.2,1,0,1
1973-03-31,Overheating,GDP 5.0%; CPI >4%; M2 surge,Stagflation,0.8,0.1,0.85,5.0,4.5,3.6,-0.2,5.5,1,0,1
1973-06-30,Overheating,GDP 4.3%; tight labor; inflation,Stagflation,0.83,0.09,0.85,4.3,4.9,3.5,-0.1,5.8,1,0,1
1973-09-30,Stagflation,GDP 1.9%; high CPI; oil shock,Recession,0.73,0.13,0.95,1.9,7.2,3.6,0.1,5.1,0,0,4
1973-12-31,Recession,NBER start; GDP 0.5%; unemp rise,Stagflation,0.8,0.1,0.9,0.5,9.5,3.8,0.2,4.8,0,1,2
1974-03-31,Recession,GDP -1.2%; low M2; CPI high,Stagflation,0.83,0.09,0.9,-1.2,10.8,4.1,0.3,4.5,0,1,2
1974-06-30,Recession,GDP -1.5%; unemp >6%; stress,Stagflation,0.86,0.08,0.9,-1.5,11.0,4.5,0.4,4.2,0,1,2
1974-09-30,Recession,GDP -2.0%; deflationary pressure,Stagflation,0.89,0.07,0.9,-2.0,11.2,4.9,0.4,3.9,0,1,2
1974-12-31,Recession,GDP -2.3%; deep contraction,Stagflation,0.92,0.06,0.9,-2.3,10.5,5.4,0.5,3.6,0,1,2
1975-03-31,Recession,GDP -1.8%; NBER trough; unemp high,Stagflation,0.95,0.05,0.9,-1.8,9.8,5.9,0.5,3.3,0,1,2
1975-06-30,Recovery,GDP 4.2%; unemp peak passed; M2,Expansion,0.63,0.17,0.86,4.2,9.1,6.3,0.4,3.9,0,0,3
1975-09-30,Recovery,GDP 5.1%; low CPI; surge growth,Expansion,0.61,0.18,0.86,5.1,8.4,6.1,-0.2,4.2,0,0,3
1975-12-31,Recovery,GDP 4.8%; sharp unemp drop,Expansion,0.59,0.19,0.86,4.8,7.7,5.8,-0.3,4.5,0,0,3
1976-03-31,Overheating,GDP 4.5%; low unemp; ATH,Expansion,0.78,0.12,0.85,4.5,7.0,5.5,-0.3,4.8,1,0,1
1976-06-30,Overheating,GDP 4.1%; CPI rising; M2 high,Expansion,0.81,0.11,0.85,4.1,6.3,5.2,-0.3,5.1,1,0,1
1976-09-30,Expansion,GDP 3.3%; stable; moderate CPI,Overheating,0.58,0.2,0.43,3.3,5.6,5.0,-0.2,4.8,1,0,0
1976-12-31,Expansion,GDP 3.0%; unemp 5%; balanced,Overheating,0.57,0.21,0.43,3.0,5.0,4.8,-0.2,4.5,1,0,0
1977-03-31,Expansion,GDP 2.8%; steady growth; M2 5%,Overheating,0.56,0.22,0.43,2.8,4.9,4.7,-0.1,4.2,1,0,0
1977-06-30,Expansion,GDP 3.1%; no stress; low vol,Overheating,0.55,0.23,0.43,3.1,5.3,4.6,-0.1,4.0,1,0,0
1977-09-30,Overheating,GDP 4.2%; rising CPI; low unemp,Expansion,0.79,0.1,0.85,4.2,5.7,4.4,-0.2,4.3,1,0,1
1977-12-31,Overheating,GDP 3.9%; ATH S&P; inflation,Expansion,0.82,0.09,0.85,3.9,6.1,4.2,-0.2,4.6,1,0,1
1978-03-31,Overheating,GDP 4.5%; CPI >4%; tight,Stagflation,0.85,0.08,0.85,4.5,6.5,4.0,-0.2,4.9,1,0,1
1978-06-30,Overheating,GDP 4.8%; M2 high; growth,Stagflation,0.88,0.07,0.85,4.8,6.9,3.8,-0.2,5.2,1,0,1
1978-09-30,Stagflation,GDP 1.7%; high CPI; unemp rise,Overheating,0.74,0.12,0.95,1.7,7.3,3.9,0.1,4.5,0,0,4
1978-12-31,Stagflation,GDP 1.4%; CPI >4%; low M2,Overheating,0.77,0.11,0.95,1.4,7.7,4.0,0.1,4.2,0,0,4
1979-03-31,Stagflation,GDP 1.2%; inflation spike; stress,Recession,0.8,0.1,0.95,1.2,8.1,4.1,0.1,3.9,0,0,4
1979-06-30,Stagflation,GDP 0.9%; high unemp; no growth,Recession,0.83,0.09,0.95,0.9,8.5,4.2,0.1,3.6,0,0,4
1979-09-30,Stagflation,GDP 1.1%; CPI >10%; low GDP,Recession,0.86,0.08,0.95,1.1,9.0,4.3,0.1,3.3,0,0,4
1979-12-31,Recession,GDP 0.5%; unemp rise; M2 low,Stagflation,0.89,0.07,0.9,0.5,9.5,4.5,0.2,3.0,0,1,2
1980-03-31,Recession,NBER start; GDP -0.2%; stress,Stagflation,0.92,0.06,0.9,-0.2,10.0,4.8,0.3,2.7,0,1,2
1980-06-30,Recession,GDP -1.5%; unemp >6%; low CPI,Stagflation,0.95,0.05,0.9,-1.5,10.5,5.2,0.4,2.4,0,1,2
1980-09-30,Recession,GDP -0.8%; trough; contraction,Stagflation,0.98,0.04,0.9,-0.8,10.0,5.7,0.5,2.1,0,1,2
1980-12-31,Recovery,GDP 4.1%; unemp drop; M2 surge,Expansion,0.64,0.17,0.86,4.1,9.5,5.3,-0.4,2.7,0,0,3
1981-03-31,Recovery,GDP 3.8%; post-trough; low CPI,Expansion,0.62,0.18,0.86,3.8,9.0,4.9,-0.4,3.0,0,0,3
1981-06-30,Expansion,GDP 3.2%; stable; moderate,Recession,0.61,0.18,0.43,3.2,8.5,4.6,-0.3,3.3,0,0,0
1981-09-30,Recession,NBER start; GDP 0.4%; unemp rise,Stagflation,0.83,0.09,0.9,0.4,8.0,4.9,0.3,3.0,0,1,2
1981-12-31,Recession,GDP -0.7%; low M2; CPI drop,Stagflation,0.86,0.08,0.9,-0.7,7.5,5.3,0.4,2.7,0,1,2
1982-03-31,Recession,GDP -1.2%; unemp >8%; stress,Stagflation,0.89,0.07,0.9,-1.2,7.0,5.8,0.5,2.4,0,1,2
1982-06-30,Recession,GDP -1.5%; deep; no growth,Stagflation,0.92,0.06,0.9,-1.5,6.5,6.4,0.6,2.1,0,1,2
1982-09-30,Recession,GDP -0.9%; unemp high; low CPI,Stagflation,0.95,0.05,0.9,-0.9,6.0,7.0,0.6,1.8,0,1,2
1982-12-31,Recession,GDP 0.2%; trough; contraction,Stagflation,0.98,0.04,0.9,0.2,5.5,7.5,0.5,1.5,0,1,2
1983-03-31,Recovery,GDP 4.5%; unemp fall; M2 boost,Expansion,0.65,0.16,0.86,4.5,5.0,7.1,-0.4,2.1,0,0,3
1983-06-30,Recovery,GDP 5.2%; low CPI; surge,Expansion,0.63,0.17,0.86,5.2,4.5,6.6,-0.5,2.4,0,0,3
1983-09-30,Overheating,GDP 6.1%; low unemp; ATH,Expansion,0.82,0.09,0.85,6.1,4.0,6.1,-0.5,2.7,1,0,1
1983-12-31,Overheating,GDP 5.8%; CPI rising; M2 high,Expansion,0.85,0.08,0.85,5.8,3.5,5.6,-0.5,3.0,1,0,1
1984-03-31,Overheating,GDP 6.4%; tight labor; inflation,Expansion,0.88,0.07,0.85,6.4,3.0,5.1,-0.5,3.3,1,0,1
1984-06-30,Overheating,GDP 5.7%; ATH S&P; growth,Expansion,0.91,0.06,0.85,5.7,2.5,4.6,-0.5,3.6,1,0,1
1984-09-30,Expansion,GDP 3.9%; stable CPI; moderate,Overheating,0.58,0.2,0.43,3.9,2.0,4.2,-0.4,3.3,1,0,0
1984-12-31,Expansion,GDP 3.5%; unemp steady; balanced,Overheating,0.57,0.21,0.43,3.5,1.8,4.0,-0.2,3.0,1,0,0
1985-03-31,Expansion,GDP 3.2%; no ATH; M2 6%,Overheating,0.56,0.22,0.43,3.2,1.6,3.9,-0.1,2.7,1,0,0
1985-06-30,Expansion,GDP 3.0%; steady; low vol,Overheating,0.55,0.23,0.43,3.0,1.4,3.8,-0.1,2.4,1,0,0
1985-09-30,Expansion,GDP 2.8%; balanced growth,Overheating,0.54,0.24,0.43,2.8,1.2,3.7,-0.1,2.1,1,0,0
1985-12-31,Expansion,GDP 3.1%; CPI 2%; stable,Overheating,0.53,0.24,0.43,3.1,1.0,3.6,-0.1,1.8,1,0,0
1986-03-31,Expansion,GDP 2.9%; moderate M2; no stress,Overheating,0.52,0.25,0.43,2.9,0.8,3.5,-0.1,1.5,1,0,0
1986-06-30,Expansion,GDP 2.7%; unemp 5%; balanced,Overheating,0.51,0.26,0.43,2.7,0.6,3.4,-0.1,1.2,1,0,0
1986-09-30,Expansion,GDP 3.0%; stable; low CPI,Overheating,0.5,0.27,0.43,3.0,0.4,3.3,-0.1,1.0,1,0,0
1986-12-31,Expansion,GDP 2.8%; steady growth,Overheating,0.49,0.28,0.43,2.8,0.2,3.2,-0.1,0.8,1,0,0
1987-03-31,Expansion,GDP 3.2%; no vol; moderate,Overheating,0.48,0.29,0.43,3.2,0.3,3.1,-0.1,0.6,1,0,0
1987-06-30,Overheating,GDP 4.1%; rising CPI; low unemp,Expansion,0.81,0.11,0.85,4.1,0.5,3.0,-0.1,0.9,1,0,1
1987-09-30,Overheating,GDP 4.3%; ATH S&P; M2 high,Expansion,0.84,0.1,0.85,4.3,0.7,2.9,-0.1,1.2,1,0,1
1987-12-31,Stagflation,GDP 1.5%; crash; high CPI,Recession,0.75,0.12,0.95,1.5,0.9,3.0,0.1,1.5,0,0,4
1988-03-31,Expansion,GDP 3.0%; stable post-crash,Overheating,0.57,0.21,0.43,3.0,1.1,3.1,0.1,1.8,1,0,0
1988-06-30,Expansion,GDP 3.3%; unemp steady; moderate,Overheating,0.56,0.22,0.43,3.3,1.3,3.2,0.1,2.1,1,0,0
1988-09-30,Expansion,GDP 3.1%; balanced; M2 5%,Overheating,0.55,0.23,0.43,3.1,1.5,3.3,0.1,2.4,1,0,0
1988-12-31,Expansion,GDP 3.4%; no stress; low vol,Overheating,0.54,0.24,0.43,3.4,1.7,3.4,0.1,2.7,1,0,0
1989-03-31,Overheating,GDP 4.0%; low unemp; rising CPI,Expansion,0.83,0.09,0.85,4.0,2.0,3.3,-0.1,3.0,1,0,1
1989-06-30,Overheating,GDP 3.8%; ATH; inflation,Expansion,0.86,0.08,0.85,3.8,2.3,3.2,-0.1,3.3,1,0,1
1989-09-30,Stagflation,GDP 1.9%; CPI >4%; slow growth,Recession,0.76,0.11,0.95,1.9,2.6,3.3,0.1,3.0,0,0,4
1989-12-31,Stagflation,GDP 1.6%; high CPI; unemp rise,Recession,0.79,0.1,0.95,1.6,2.9,3.4,0.1,2.7,0,0,4
1990-03-31,Expansion,GDP 2.8%; moderate; stable,Stagflation,0.58,0.2,0.43,2.8,3.2,3.5,0.1,2.4,0,0,0
1990-06-30,Expansion,GDP 2.5%; unemp 5%; balanced,Stagflation,0.57,0.21,0.43,2.5,3.5,3.6,0.1,2.1,0,0,0
1990-09-30,Recession,NBER start; GDP 0.3%; unemp rise,Stagflation,0.84,0.08,0.9,0.3,3.8,3.8,0.2,1.8,0,1,2
1990-12-31,Recession,GDP -0.5%; low M2; stress,Stagflation,0.87,0.07,0.9,-0.5,4.1,4.1,0.3,1.5,0,1,2
1991-03-31,Recession,GDP -1.2%; unemp >6%; low CPI,Stagflation,0.9,0.06,0.9,-1.2,4.4,4.5,0.4,1.2,0,1,2
1991-06-30,Recovery,GDP 3.1%; trough; unemp drop,Expansion,0.64,0.17,0.86,3.1,4.2,4.2,-0.3,1.8,0,0,3
1991-09-30,Recovery,GDP 3.4%; M2 surge; low CPI,Expansion,0.62,0.18,0.86,3.4,3.9,3.9,-0.3,2.1,0,0,3
1991-12-31,Recovery,GDP 3.7%; post-trough surge,Expansion,0.6,0.19,0.86,3.7,3.6,3.6,-0.3,2.4,0,0,3
1992-03-31,Expansion,GDP 3.0%; stable; moderate,Overheating,0.59,0.2,0.43,3.0,3.3,3.4,-0.2,2.7,1,0,0
1992-06-30,Expansion,GDP 2.8%; unemp steady; balanced,Overheating,0.58,0.21,0.43,2.8,3.0,3.3,-0.1,3.0,1,0,0
1992-09-30,Expansion,GDP 3.1%; CPI 1-2%; no ATH,Overheating,0.57,0.22,0.43,3.1,2.7,3.2,-0.1,2.7,1,0,0
1992-12-31,Expansion,GDP 3.3%; low vol; M2 4%,Overheating,0.56,0.23,0.43,3.3,2.4,3.1,-0.1,2.4,1,0,0
1993-03-31,Expansion,GDP 2.9%; steady growth,Overheating,0.55,0.24,0.43,2.9,2.1,3.0,-0.1,2.1,1,0,0
1993-06-30,Expansion,GDP 2.7%; balanced; stable,Overheating,0.54,0.25,0.43,2.7,1.8,3.0,0.0,1.8,1,0,0
1993-09-30,Expansion,GDP 3.0%; no stress; moderate,Overheating,0.53,0.26,0.43,3.0,1.5,3.0,0.0,1.5,1,0,0
1993-12-31,Expansion,GDP 3.2%; unemp 5-6%; CPI low,Overheating,0.52,0.25,0.43,3.2,1.2,3.0,0.0,1.2,1,0,0
1994-03-31,Overheating,GDP 4.1%; low unemp; rising CPI,Expansion,0.85,0.08,0.85,4.1,1.4,2.9,-0.1,1.5,1,0,1
1994-06-30,Overheating,GDP 4.3%; ATH S&P; M2 high,Expansion,0.88,0.07,0.85,4.3,1.6,2.8,-0.1,1.8,1,0,1
1994-09-30,Overheating,GDP 3.9%; tight; inflation,Expansion,0.91,0.06,0.85,3.9,1.8,2.7,-0.1,2.1,1,0,1
1994-12-31,Overheating,GDP 4.2%; growth high; low unemp,Expansion,0.94,0.05,0.85,4.2,2.0,2.6,-0.1,2.4,1,0,1
1995-03-31,Expansion,GDP 3.5%; stable CPI; moderate,Overheating,0.59,0.19,0.43,3.5,2.2,2.6,0.0,2.1,1,0,0
1995-06-30,Expansion,GDP 3.3%; unemp steady; balanced,Overheating,0.58,0.2,0.43,3.3,2.4,2.6,0.0,1.8,1,0,0
1995-09-30,Expansion,GDP 3.1%; no ATH stress; M2 5%,Overheating,0.57,0.21,0.43,3.1,2.3,2.6,0.0,1.5,1,0,0
1995-12-31,Expansion,GDP 3.4%; low vol; stable,Overheating,0.56,0.22,0.43,3.4,2.2,2.6,0.0,1.2,1,0,0
