"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
11,"AAL","American Airlines Group Inc","S&P 500","Industrials","Airlines","USA",6649.09,,5.48,,0.12,,0.71,,-7.23,14.19,,,0.00%,-0.28,0.03,-57.71%,64.77%,-17.73%,42.40%,16.93%,1.99%,-46.96%,53448.00,-121.00,2.68%,-0.30%,654.27,647.33,98.94%,1.43%,0.00%,61.65%,1.45%,12.85%,2.28,83.17,-0.18%,,-0.41%,0.60,0.50,,,20.24%,5.34%,-0.23%,0.16%,0.20%,0.11%,0.20%,0.05%,0.25%,0.55%,0.60%,1.05%,3.85%,2.38%,-8.04%,-32.23%,-31.86%,-34.89%,-26.31%,1.44,0.40,3.24%,4.14%,0.19%,-5.88%,-22.44%,-14.12%,11.63%,-37.31%,11.63%,-82.86%,22.73%,47.79,7/25/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,1.45%,2.46%,2.46,36438.60,0.96,16825501,23803,11.92,9.74,9.98,10.16,9.95,10.12,3.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAM-U","AA Mission Acquisition Corp.","-","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.19%,-0.09%,,,,,0.01%,,0.02,0.14%,,-0.02%,-0.02%,-0.02%,-0.19%,0.11%,-0.19%,0.11%,-0.19%,0.11%,,,8/1/2024,No,No,,0.00%,-0.04%,,2323.51,0.00,600,2,,9.99,9.99,9.99,9.99,9.99,-0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAMC","Altisource Asset Management Corp","-","Financial","Mortgage Finance","USA",6.38,0.06,,,,5.85,0.53,0.61,0.43,4.76,,,,42.11,,,,-22.42%,,143.79%,-97.81%,33.29%,-15.19,101.19,,,2.55,0.86,33.73%,66.20%,0.00%,1.89%,-75.30%,1.64%,1.28,0.01,-53.06%,-131.64%,7637.13%,,,0.21,10.93,82.40%,198.38%,-666.18%,0.00%,0.00%,0.00%,-2.91%,3.73%,-9.09%,3.73%,-9.09%,-9.09%,-8.76%,-18.83%,0.00%,-16.67%,-41.86%,-88.67%,-39.61%,,0.46,16.01%,18.36%,-12.53%,1.17%,-27.47%,-44.07%,48.80%,-68.97%,48.80%,-99.65%,48.80%,45.46,,12/13/2012,No,Yes,13,-3.47%,-5.82%,,11.01,0.51,2683,17,,2.75,2.59,2.75,2.41,2.50,-9.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",31.62,,,,0.17,0.31,,12.60,4.93,,0.04,2.58%,,-0.18,,,,12.50%,,0.22%,-3.09%,-150.86%,186.00,-3.55,,,20.40,3.86,18.92%,81.07%,0.00%,4.66%,1.32%,1.09%,9.52,0.04,-0.88%,-3.09%,-2.52%,0.91,,0.40,0.40,,1.13%,-1.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.31%,1.31%,-4.32%,1.97%,-9.36%,-13.17%,-38.25%,-19.27%,-36.74%,0.43,0.07,5.02%,4.40%,-0.68%,-6.04%,-24.51%,-22.11%,4.02%,-48.33%,4.03%,-90.29%,326.67%,47.19,,3/17/1980,No,Yes,155,-4.32%,1.25%,,4.43,0.64,1350,16,,1.60,1.62,1.55,1.55,1.55,-3.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAN","Aarons Company Inc","RUT","Industrials","Rental & Leasing Services","USA",309.17,,17.23,,0.15,0.47,9.05,,21.41,1.11,0.50,4.97%,550.66%,-1.39,0.10,-100.00%,,-42.78%,,4.01%,-5.14%,-285.69%,2069.78,-42.58,-242.86%,-2.10%,30.36,29.47,97.07%,4.06%,0.04%,92.87%,-7.36%,4.67%,1.73,1.38,-2.37%,-6.22%,-3.16%,,,1.05,1.07,52.04%,3.03%,-2.06%,-0.02%,-0.00%,-0.00%,-0.02%,-0.03%,-0.03%,-0.03%,-0.03%,0.05%,-0.08%,0.47%,0.98%,36.05%,-4.48%,-20.16%,-7.47%,1.42,0.07,0.38%,0.48%,0.71%,4.45%,12.43%,-0.72%,34.95%,-22.02%,52.03%,-73.15%,52.03%,64.88,8/5/2024 4:30:00 PM,11/4/1982,Yes,Yes,9071,-0.03%,0.10%,3.00,793.39,1.01,385294,1098,10.08,10.06,10.07,10.08,10.06,10.07,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAOI","Applied Optoelectronics Inc","RUT","Technology","Communication Equipment","USA",347.04,,16.72,,1.68,1.85,21.53,,4.59,0.39,,,,-1.92,-0.17,-60.12%,175.46%,-74.26%,13.00%,-2.51%,3.98%,-15.45%,206.94,-72.10,4.14%,-1.98%,38.15,37.38,97.98%,8.60%,2.06%,72.29%,-2.24%,26.03%,4.89,9.73,-20.46%,-41.23%,-26.99%,1.64,0.97,0.43,0.59,28.20%,-28.56%,-34.84%,0.41%,0.28%,0.48%,0.35%,0.83%,0.65%,0.00%,1.19%,2.54%,2.23%,-0.99%,-22.55%,-22.93%,-59.36%,-42.63%,-56.08%,1.97,0.87,10.25%,11.32%,0.29%,-6.14%,-36.44%,-29.93%,26.64%,-65.72%,27.40%,-91.79%,473.31%,49.75,8/6/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,2.48%,1.72%,2.00,1987.73,0.71,672624,5127,14.00,8.14,8.28,8.55,8.20,8.48,4.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAON","AAON Inc.","-","Industrials","Building Products & Equipment","USA",7262.66,40.24,32.18,3.35,6.08,9.80,601.21,61.86,9.15,0.15,0.32,0.35%,15.01%,2.23,0.57,2.95%,23.00%,31.82%,12.00%,23.88%,10.43%,13.90%,1194.27,186.37,20.39%,10.50%,81.51,66.76,81.90%,17.59%,-1.54%,70.91%,-0.20%,5.00%,4.28,3.34,19.21%,26.61%,21.75%,2.99,1.70,0.16,0.16,34.93%,20.32%,15.61%,-0.09%,-0.02%,0.04%,0.05%,0.16%,0.24%,0.43%,-0.03%,0.57%,-0.33%,4.16%,1.67%,18.24%,9.72%,42.30%,21.36%,0.79,3.13,2.36%,3.99%,3.06%,6.89%,15.42%,-5.30%,27.56%,-6.94%,71.61%,-6.94%,336890.85%,59.90,8/1/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,-0.23%,2.15%,2.00,778.79,0.25,93628,1771,99.00,87.97,89.86,90.23,88.24,89.65,1.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",3717.61,90.02,14.45,,0.33,1.45,8.24,7.95,43.01,7.56,1.25,2.00%,451.08%,0.69,0.96,617.80%,20.24%,-38.63%,,3.37%,-0.33%,-6.66%,11276.27,41.61,-1.89%,-0.56%,59.51,58.94,99.04%,1.15%,1.32%,111.51%,-3.22%,12.27%,4.79,7.23,0.34%,1.60%,0.64%,1.22,0.29,1.55,1.55,40.04%,0.95%,0.37%,-0.04%,0.01%,-0.08%,-0.09%,-0.06%,0.05%,0.10%,-0.35%,0.30%,2.22%,2.36%,-3.24%,-17.80%,-2.96%,-10.58%,2.17%,1.22,2.24,3.40%,3.56%,3.35%,0.81%,-4.99%,-6.97%,9.36%,-29.59%,30.64%,-74.50%,405.72%,54.13,8/22/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,0.18%,2.88%,3.17,1509.21,0.43,308881,6400,62.35,60.50,62.24,63.12,61.43,62.35,3.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,15.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.04%,-0.07%,-0.07%,-0.10%,0.14%,0.18%,0.43%,0.01%,2.06%,11.13%,-4.54%,34.91%,37.26%,14.31%,23.52%,1.99,1.40,3.48%,5.39%,5.63%,6.28%,24.22%,-11.06%,32.70%,-11.06%,78.32%,-11.06%,99.10%,58.32,,8/9/2022,Yes,Yes,,0.36%,2.61%,,213.37,0.35,35361,503,,27.55,28.27,28.41,27.94,28.37,2.98%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,28146019,27.59,0.03,-9934197.95,-26.09,4720726.62,20.15,16019648.03,132.11,16312456.65,137.85,29.16,,,,14.26,"U.S. single-asset AAPL leverage"
20,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.84,4.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04%,-0.06%,-0.03%,0.01%,-0.06%,-0.12%,-0.07%,-0.23%,-0.06%,-0.70%,-5.22%,1.73%,-16.52%,-19.32%,-22.36%,-15.40%,-1.21,0.47,1.85%,2.60%,-3.10%,-4.37%,-16.69%,-15.74%,5.37%,-27.99%,5.37%,-45.93%,5.37%,39.87,,8/9/2022,Yes,No,,-0.12%,-1.33%,,372.24,1.53,273312,633,,17.33,17.10,17.23,17.04,17.08,-1.44%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,10,23397826,17.33,-0.01,826125.73,3.66,3250516.05,16.13,-4744425.56,-16.86,-4520005.84,-16.19,-17.02,,,,-13.89,"U.S. single-asset AAPL inverse"
21,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",3419782.24,34.25,30.19,3.09,8.87,51.33,55.34,32.78,4.38,4.06,0.99,0.44%,15.32%,6.57,1.59,9.34%,11.17%,15.55%,11.10%,8.34%,4.87%,10.88%,385603.00,101956.00,4.12%,1.59%,15550.06,15190.40,97.69%,0.09%,-4.89%,64.17%,-0.48%,0.77%,1.80,117.70,30.59%,160.58%,66.68%,0.95,0.91,1.29,1.52,45.96%,31.27%,26.44%,0.02%,0.01%,0.01%,-0.02%,0.04%,0.11%,0.10%,0.22%,0.05%,1.14%,5.45%,-1.73%,18.56%,22.14%,26.75%,16.83%,1.24,5.93,1.90%,2.76%,3.05%,3.93%,17.65%,-5.19%,17.06%,-5.19%,37.09%,-5.19%,376569.05%,59.50,8/1/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,0.17%,1.28%,1.87,65319.27,0.59,18312562,308483,245.26,221.72,224.55,225.34,222.76,224.93,1.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.08%,1.42%,0.39%,3.16%,,,3.39%,,0.12,0.34%,0.43%,1.12%,1.34%,2.62%,-0.08%,3.34%,-0.08%,5.73%,-0.08%,5.73%,64.29,,4/1/2024,No,Yes,,0.11%,0.23%,,28.23,0.08,1031,7,,25.56,25.62,25.63,25.63,25.65,0.34%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,71580040,25.56,0.00,-4443485.00,-5.84,17336185.00,31.96,67628330.00,1711.37,67628330.00,1711.37,,,,,8.41,"U.S. options treasuries buffer upside-cap fixed-period"
23,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.70,1.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04%,-0.01%,0.04%,-0.04%,0.10%,0.19%,0.13%,0.46%,0.15%,1.58%,11.07%,-4.58%,34.04%,43.17%,43.68%,32.67%,1.84,1.85,3.70%,5.59%,5.61%,6.02%,32.06%,-11.15%,33.16%,-11.15%,77.56%,-11.15%,133.86%,58.31,,8/9/2022,Yes,Yes,,0.40%,2.52%,,1041.47,0.45,223299,1733,,35.33,36.22,36.48,35.71,36.37,2.93%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,11,130803713,35.35,0.03,-28638997.51,-17.96,35643876.81,37.46,62969541.61,92.83,50104455.20,62.09,40.78,,,,21.25,"U.S. single-asset AAPL leverage"
24,"AAPX","T-Rex 2X Long Apple Daily Target ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.01%,-0.01%,-0.01%,-0.08%,0.18%,0.32%,0.29%,0.00%,0.71%,11.40%,-4.78%,34.00%,36.19%,,32.22%,,1.57,3.19%,5.09%,5.35%,5.82%,28.77%,-11.37%,31.75%,-11.37%,77.19%,-11.37%,77.19%,57.99,,1/11/2024,Yes,Yes,,0.71%,2.13%,,44.03,0.36,7674,35,,31.96,32.64,32.76,32.57,32.87,2.85%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.05%,5,9251000,31.90,0.03,-6800.00,-0.07,4249600.00,84.97,7061900.00,322.59,7061900.00,322.59,,,,,52.88,"U.S. single-asset AAPL leverage"
25,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,2.30,8.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,-0.12%,-0.12%,-0.12%,-0.16%,-0.40%,0.21%,0.43%,5.10%,-0.88%,7.54%,6.82%,,2.14%,,0.35,0.25%,0.85%,2.89%,2.48%,6.48%,-1.92%,12.05%,-1.92%,19.14%,-1.92%,19.14%,60.23,,10/27/2023,Yes,Yes,,0.43%,0.38%,,1.38,0.11,72,11,,27.09,27.19,27.19,27.19,27.31,0.81%,,,"US Equities - Industry Sector","Equities (Stocks)","US Equity Income","Technology","US","Active",0.99%,6,1352875,27.06,0.01,0.00,0.00,530216.00,64.45,764525.00,129.94,764525.00,129.94,,,,,23.50,"U.S. single-asset options AAPL covered-call"
